,Unnamed: 0,username,age,occupation,status,gender,filtered sentence,y,translated_occupation,translated_occupation_lem,translated_occupation_category
86,86,Cristi21,23,Estudiante,single,female,hispanic Straight Other nonsmoker occasional drinker Friendship Serious Relationship,0,student,student,student
87,87,Daniel981010,23,Tecnico,single,male,white Straight Other nonsmoker never Fun Friendship Romance Serious Relationship,0,technician,technician,tech
88,88,Danihela2231,23,Estudiante,single,female,hispanic Straight Christian nonsmoker never Serious Relationship,0,student,student,student
89,89,Elizabeth_Kravetz,23,Student,single,female,white Straight Atheist social smoker social drinker Serious Relationship Marriage,0,student,student,student
90,90,Estelaayui,23,Estudio,single,female,white Straight Other nonsmoker never Friendship Romance,0,study,study,student
91,91,Geneaide,23,Estudiante,single,female,black Homosexual Other nonsmoker never Romance,0,student,student,student
92,92,Kateline,23,Estudio,single,female,hispanic Straight Christian nonsmoker never Friendship,0,study,study,student
93,93,Kcarloss,23,Construction,single,male,hispanic Straight Other social smoker social drinker Romance,0,construction,construction,construction
94,94,leonchi,23,student,single,male,hispanic Straight Spiritual nonsmoker social drinker Romance Serious Relationship,0,student,student,student
95,95,leonelaneyra,23,Estudiante,single,female,white Straight Other social smoker never Fun Friendship Romance,0,student,student,student
96,96,Liap,23,Estudiante,single,female,white Straight Atheist social smoker never Friendship,0,student,student,student
97,97,Mishely,23,Ama de casa,single,female,black Straight Atheist nonsmoker never Serious Relationship,0,housewife,housewife,
98,98,myliromero,23,Enfermera,single,female,hispanic Straight Christian nonsmoker social drinker Romance Serious Relationship Marriage,0,nurse,nurse,medical
99,99,sariit20,23,Estudiante,single,female,hispanic Straight Atheist social smoker occasional drinker Fun Friendship Romance Serious Relationship Marriage,0,student,student,student
100,100,Sine99,23,Student,single,female,black Straight Christian nonsmoker occasional drinker Fun Friendship Romance Serious Relationship,0,student,student,student
101,101,stfy,23,Secretaria,single,female,hispanic Straight Christian nonsmoker never Friendship,0,secretary,secretary,office
102,102,Tina1537,23,Oficina,single,female,black Straight Christian nonsmoker social drinker Romance Serious Relationship,0,office,office,office
103,103,Tommy_MB,23,Barbero,single,male,white Homosexual Other nonsmoker never Serious Relationship,0,barber,barber,
104,104,Valeria_17,23,Estudio y trabajo,single,female,mixed Straight Atheist nonsmoker never Romance,0,study and work,study and work,student
105,105,Venezolana2000,23,Estudiante,single,female,white Straight Christian nonsmoker social drinker Friendship Romance Serious Relationship Marriage,0,student,student,student
106,106,Yacelis,23,Estudio,single,female,hispanic Straight Christian nonsmoker never Romance Serious Relationship Marriage,0,study,study,student
107,107,yamiletperez67,23,Estudiante,single,female,hispanic Straight Christian nonsmoker never Romance,0,student,student,student
108,108,Yulieth24,23,Esteticista,single,female,hispanic Straight Spiritual nonsmoker social drinker Serious Relationship,0,beautician,beautician,
109,109,Yume30,23,Estudiante,single,female,black Straight Other nonsmoker never Serious Relationship Marriage,0,student,student,student
110,110,bigdee1234dw,24,Unemployed,single,male,Im signal mountain looking nice girl chat,0,unemployed,unemployed,unemployed
111,111,JoshRaksa,24,Journalist,single,male,Im Brazil moving Canada next year Right I want able speak English people fun,0,journalist,journalist,
112,112,Krissy626,24,Nurse,single,female,I love southern land There nothing I love honest,0,nurse,nurse,medical
113,113,Lourdes0022,24,Student,single,female,I know name hard pronounce I go Lou well Im tourism management student work interpreter Love adventures traveling Im always crazy idea,0,student,student,student
114,114,Niya,24,Customer service,single,female,I fun loving young woman looking start family,0,customer service,customer service,
115,115,Steve2429,24,Landscaping,single,male,I laid back easy guy get along My family close friends important I currently wonderful boys currently stay ex I 23 year old male I currently landscaping business I also auto mechanics vehicles side I looking young female ages 1928 would willing truthful healthy relationship In relationship I believe honesty plays huge factor success long run If think kind person feel free reach,0,landscaping,landscaping,
116,116,19972020,24,Maestra,single,female,mixed Straight Christian nonsmoker never Friendship,0,teacher,teacher,education
117,117,Adriana08,24,Enfermera,single,female,hispanic Straight Other nonsmoker occasional drinker Serious Relationship,0,nurse,nurse,medical
118,118,alejaduarte11,24,estudiante,single,female,white Straight Other nonsmoker occasional drinker Serious Relationship,0,student,student,student
119,119,Alejandro1,24,Atención al cliente,single,male,hispanic Straight Atheist nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,customer support,customer support,
120,120,Amairani,24,Estudios,single,female,white Straight Muslim nonsmoker social drinker Friendship Romance Serious Relationship,0,studies,study,student
121,121,Ambar19,24,Estudiante,single,female,hispanic Straight Christian nonsmoker occasional drinker Friendship Romance,0,student,student,student
122,122,Antonio1234,24,Pintor,single,male,hispanic Straight Christian nonsmoker occasional drinker Fun Friendship Romance Serious Relationship Marriage,0,painter,painter,
123,123,cata09876,24,estudiante,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,student,student,student
124,124,Corbyn26,24,Chef,single,male,mixed Straight Spiritual social smoker social drinker Fun,0,chef,chef,
125,125,Cristian12,24,Estudiante,single,male,hispanic Straight Other nonsmoker social drinker Serious Relationship,0,student,student,student
126,126,Danielaaop97,24,Barista,single,female,hispanic Straight Christian nonsmoker social drinker Romance Serious Relationship,0,barista,barista,
127,127,Danielavargas,24,Estudiante,single,female,white Homosexual Other nonsmoker social drinker Romance Serious Relationship,0,student,student,student
128,128,Day23,24,Estudiante,single,female,hispanic Straight Christian nonsmoker occasional drinker Friendship Serious Relationship Marriage,0,student,student,student
129,129,Emilyhernandez,24,Futbolista,single,female,hispanic Straight Other nonsmoker occasional drinker Friendship,0,soccer player,soccer player,
130,130,Ericklb23,24,Laboro,single,male,hispanic Straight Christian nonsmoker never Romance,0,work,work,
131,131,Fuentesariana58,24,Estilista,single,female,hispanic Straight Spiritual nonsmoker social drinker Fun Romance,0,stylist,stylist,
132,132,Jailin,24,Estudiante,single,female,hispanic Straight Christian nonsmoker never Serious Relationship,0,student,student,student
133,133,Jeancarolos28,24,Tecnico,single,male,hispanic Straight Other nonsmoker social drinker Fun Friendship Romance,0,technician,technician,tech
134,134,Jesuslj,24,Construccion,single,male,hispanic Straight Christian nonsmoker never Serious Relationship,0,building,building,
135,135,Jorgevas,24,Musico,single,male,hispanic Straight Other social smoker social drinker Romance Serious Relationship Marriage,0,musician,musician,
136,136,juap,24,ESTUDIANTE,single,male,hispanic Straight Christian nonsmoker never Fun Friendship Romance,0,student,student,student
137,137,Juli98,24,Electricista,single,male,hispanic Straight Atheist nonsmoker occasional drinker Fun Romance Serious Relationship,0,electrician,electrician,
138,138,Karolina09,24,Estudiante,single,female,white Straight Christian nonsmoker never Romance Serious Relationship,0,student,student,student
139,139,Kawtar98,24,Lawyer,single,female,middle eastern Straight Muslim nonsmoker never Romance Serious Relationship,0,lawyer,lawyer,
140,140,Kenifer,24,Comerciante,single,female,hispanic Straight Other social smoker never Serious Relationship,0,merchant,merchant,
141,141,KlarinkaMartinka,24,Student,single,female,white Straight Christian nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,student,student,student
142,142,Leticiabr,24,Universidad,single,female,hispanic Straight Christian nonsmoker never Marriage,0,universidad,universidad,education
143,143,Maddie24,24,Student,single,female,white Straight Christian nonsmoker never Friendship Serious Relationship Marriage,0,student,student,student
144,144,Maryoine,24,Ama de casa,single,female,white Straight Other nonsmoker never Marriage,0,housewife,housewife,
145,145,Melanie_35,24,Universitaria,single,female,hispanic Straight Spiritual nonsmoker never Friendship Romance,0,university,university,education
146,146,MirianOcas02,24,Estudiante,single,female,hispanic Straight Other nonsmoker never Romance Serious Relationship,0,student,student,student
147,147,Nancy98,24,Student,single,female,black Straight Christian nonsmoker never Fun Romance,0,student,student,student
148,148,NicoleVML1997,24,Periodistas,single,female,hispanic Straight Christian nonsmoker never Romance Serious Relationship Marriage,0,journalists,journalist,
149,149,Orbe,24,Ama de casa,single,female,mixed Straight Other nonsmoker never Friendship,0,housewife,housewife,
150,150,Osmarah,24,Enfermera,single,female,hispanic Straight Other social smoker social drinker Fun Friendship Romance,0,nurse,nurse,medical
151,151,Purityjay,24,Nursing,single,female,black Straight Christian nonsmoker never Friendship,0,nursing,nursing,
152,152,raymitlepcha,24,Student,single,female,asian Straight Buddhist nonsmoker occasional drinker Friendship,0,student,student,student
153,153,rockyraquel1016,24,military,single,female,hispanic Straight Christian nonsmoker social drinker Fun Friendship,0,military,military,military
154,154,Ros00,24,Estudiante,single,female,hispanic Straight Christian nonsmoker social drinker Romance Serious Relationship Marriage,0,student,student,student
155,155,sajjal,24,student,single,female,asian Homosexual Other nonsmoker never Serious Relationship,0,student,student,student
156,156,scarper,24,estudiante,single,female,hispanic Straight Other social smoker social drinker Romance Serious Relationship,0,student,student,student
157,157,Soledad97,24,Estudiante,single,female,hispanic Straight Other nonsmoker never Friendship,0,student,student,student
158,158,Sosafutbol98,24,Digitador,single,male,white Straight Spiritual social smoker social drinker Friendship,0,typist,typist,
159,159,Thulz,24,Student,single,female,black Bisexual Christian nonsmoker occasional drinker Fun Friendship Romance Serious Relationship,0,student,student,student
160,160,WildAngel,24,Student,single,female,white Bisexual Christian social smoker social drinker Fun Friendship,0,student,student,student
161,161,yhaisa,24,cajera,single,female,hispanic Straight Other nonsmoker occasional drinker Friendship,0,cashier,cashier,
162,162,Astrid09,25,Journalist,single,female,Hey Just looking friends dance every day,0,journalist,journalist,
163,163,Bgulley,25,Manager,single,female,Im 22 Ive always interested Russian men I want relocate,0,manager,manager,office
164,164,Cerbers,25,Student,single,male,I Riga Technical university student looking new friends,0,student,student,student
165,165,Gamer6949,25,Engineer,single,male,I happy confident ambitious person,0,engineer,engineer,engineer
166,166,Isaac1997,25,Estudiando,single,male,I 23 I looking partner meet Norway goals getting ahead family,0,studying,studying,student
167,167,luckyduck123,25,student,single,male,love workout tons watch movies,0,student,student,student
168,168,paloma9,25,Estudiante,single,female,Hi I girl Mexico I 23 years old although days I 24 I like dancing lot,0,student,student,student
169,169,SaidRicky,25,Estudiante,single,male,Like dancinggymcooking,0,student,student,student
170,170,Aby2290,25,Universitaria,single,female,hispanic Straight Christian nonsmoker never Serious Relationship,0,university,university,education
171,171,Adridri,25,Estudiante,single,female,hispanic Straight Christian nonsmoker never Friendship Serious Relationship,0,student,student,student
172,172,Alexander01,25,Conductor,single,male,hispanic Straight Other nonsmoker occasional drinker Serious Relationship,0,conductor,conductor,
173,173,Alvaro25jpm96,25,Guarda de seguridad,single,male,hispanic Straight Christian nonsmoker never Romance Serious Relationship Marriage,0,security guard,security guard,
174,174,Anielle96,25,Estudiante,single,female,hispanic Straight Spiritual nonsmoker occasional drinker Friendship,0,student,student,student
175,175,Axel7,25,Universitario,single,male,hispanic Straight Christian nonsmoker social drinker Fun Romance Serious Relationship,0,university,university,education
176,176,Carolina23,25,Enfermera,single,female,hispanic Straight Christian nonsmoker occasional drinker Serious Relationship,0,nurse,nurse,medical
177,177,Cristinai,25,Cocina,single,female,hispanic Straight Christian nonsmoker never Friendship Romance Serious Relationship Marriage,0,cocina,cocina,
178,178,Daneth,25,Estudiante,single,female,hispanic Straight Christian nonsmoker never Serious Relationship,0,student,student,student
179,179,Danielafranco_1297,25,Estudiante,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,student,student,student
180,180,Denob8,25,Management,single,male,black Straight Atheist social smoker social drinker Fun Friendship Romance Serious Relationship,0,management,management,
181,181,Dubann,25,Estudiante,single,male,hispanic Straight Other nonsmoker occasional drinker Romance,0,student,student,student
182,182,Duvan611,25,Empresario,single,male,hispanic Straight Spiritual social smoker occasional drinker Fun Friendship Romance Serious Relationship Marriage,0,entrepreneur,entrepreneur,
183,183,Ezekiel972,25,Enfermero,single,male,hispanic Straight Christian nonsmoker never Fun Friendship Romance Serious Relationship Marriage,0,male nurse,male nurse,medical
184,184,Flightcrew777,25,Music producer,single,male,hispanic Straight Other nonsmoker occasional drinker Friendship Romance,0,music producer,music producer,
185,185,Fran2404,25,Transporte,single,male,hispanic Straight Other nonsmoker social drinker Serious Relationship,0,transport,transport,
186,186,Gheraldyn,25,Enfermera,single,female,white Straight Other nonsmoker occasional drinker Friendship,0,nurse,nurse,medical
187,187,Got,25,Empresario,single,male,hispanic Straight Other social smoker social drinker Fun Friendship Romance,0,entrepreneur,entrepreneur,
188,188,Jeferp,25,Uber,single,male,hispanic Straight Spiritual nonsmoker occasional drinker Serious Relationship,0,uber,uber,
189,189,Jemima,25,Estudiante,single,female,hispanic Straight Other nonsmoker never Friendship,0,student,student,student
190,190,JorgeOrtegacorrea,25,Ayudante,separated,male,hispanic Straight Christian social smoker social drinker Fun,0,assistant,assistant,
191,191,Kenai21,25,Estudiante,single,female,hispanic Straight Christian nonsmoker never Serious Relationship Marriage,0,student,student,student
192,192,Lali96,25,Paralegal,single,female,hispanic Straight Christian nonsmoker occasional drinker Friendship Romance,0,paralegal,paralegal,
193,193,Lilili,25,Cocinera,single,female,hispanic Straight Atheist nonsmoker social drinker Romance Serious Relationship Marriage,0,cook,cook,
194,194,LilyReales,25,Contabilidad,single,female,hispanic Straight Christian nonsmoker never Friendship Romance Serious Relationship Marriage,0,accounting,accounting,
195,195,Luzdi,25,Law,single,female,white Straight Other nonsmoker never Friendship,0,law,law,
196,196,marcel97,25,Cocinero,single,male,hispanic Straight Other nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,cook,cook,
197,197,mariaamartinez,25,Student,single,female,hispanic Straight Christian nonsmoker social drinker Friendship Serious Relationship,0,student,student,student
198,198,Mar_Cosmic24,25,Freelance,single,female,mixed Straight Atheist nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,freelance,freelance,
199,199,Matheo_Mazzini,25,Empresas,single,male,white Straight Atheist social smoker social drinker Fun Friendship Romance Serious Relationship,0,companies,company,
200,200,May-96,25,Empresario,single,male,black Straight Christian nonsmoker occasional drinker Friendship Serious Relationship,0,entrepreneur,entrepreneur,
201,201,MM_,25,Abogado,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,lawyer,lawyer,
202,202,natan97gdl,25,obrero,single,male,white Straight Other social smoker never Serious Relationship,0,worker,worker,
203,203,natanaelFue97,25,obrero,single,male,hispanic Straight Other nonsmoker never Friendship Romance Serious Relationship,0,worker,worker,
204,204,nuneze,25,carpintero,single,male,hispanic Straight Other nonsmoker never Fun Friendship Romance Serious Relationship,0,carpenter,carpenter,self employed
205,205,PabloSoler,25,Sailor,single,male,white Straight Christian nonsmoker social drinker Friendship Romance Serious Relationship,0,sailor,sailor,
206,206,RalphI,25,English teacher,single,male,white Straight Christian light smoker occasional drinker Serious Relationship,0,english teacher,english teacher,education
207,207,rao,25,student,single,male,white Straight Christian nonsmoker never Romance Serious Relationship Marriage,0,student,student,student
208,208,smachore,25,Propio,single,female,black Straight Other nonsmoker social drinker Fun,0,own,own,self employed
209,209,Ulises300,25,Construction,single,male,hispanic Straight Spiritual social smoker social drinker Fun Friendship Romance,0,construction,construction,construction
210,210,Yesicalondon,25,Mercadeo,single,female,mixed Straight Other nonsmoker social drinker Friendship,0,marketing,marketing,
211,211,ZullynAzul2,25,Estudiante,single,female,white Straight Christian nonsmoker never Serious Relationship,0,student,student,student
212,212,csharp1996,26,No job,single,male,Hi Im Caleb Sharp Im 26 years old I born January 141996 North Oaks Hospital Hammond Louisiana 1152 PM I currently reside Springfield mom younger siblings,0,no job,no job,
213,213,kenwalker22,26,CSR,single,male,I friendly love meet new people make new friends visiting panama july 29 2022 hope meet make new friends,0,csr,csr,
214,214,Margott,26,Driver,single,female,My friends consider affectionate kind loving person I like outdoors nature dancing swimming ocean going movies live music,0,driver,driver,
215,215,Mdy,26,Employed,single,female,Compassionate friendly selective love quietness comfort home dont like routine Free spirited truly loyal persons I accept life love animals nature I pets Business minded Love reading learning meaningful things,0,employed,employed,
216,216,Rosee,26,Independiente,divorced,female,I like sports travel I looking person get married children husband smart start business,0,independent,independent,self employed
217,217,13021991Jb,26,Administrador,single,female,mixed Straight Christian nonsmoker never Fun Friendship Romance,0,administrator,administrator,
218,218,Aaaaaa,26,Estudiante,single,female,white Straight Other nonsmoker occasional drinker Friendship,0,student,student,student
219,219,albertopl,26,ingeniero,single,male,black Straight Other nonsmoker never Romance,0,engineer,engineer,engineer
220,220,Alejandro96,26,Trabajo independiente,single,male,hispanic Straight Other nonsmoker social drinker Serious Relationship,0,independent work,independent work,self employed
221,221,Alexishkoissfgjuik,26,Estudiante,single,male,white Straight Christian nonsmoker social drinker Romance,0,student,student,student
222,222,Alexssm2504,26,Ingeniero,single,male,hispanic Straight Christian nonsmoker social drinker Friendship Serious Relationship Marriage,0,engineer,engineer,engineer
223,223,Alf7,26,Comerciante,single,male,hispanic Straight Other social smoker social drinker Fun,0,merchant,merchant,
224,224,Andy24,26,Clerk,single,female,black Straight Christian nonsmoker occasional drinker Friendship Romance Serious Relationship,0,clerk,clerk,office
225,225,Andy95,26,Ingeniero,single,male,mixed Straight Atheist light smoker occasional drinker Fun Friendship Romance Serious Relationship,0,engineer,engineer,engineer
226,226,annann,26,Oficinista,single,female,white Straight Other social smoker occasional drinker Fun Friendship,0,office worker,office worker,office
227,227,Antonio3321,26,Ingeniero mecanico,single,male,mixed Straight Other nonsmoker social drinker Marriage,0,mechanical engineer,mechanical engineer,engineer
