username,age,occupation,status,gender,filtered sentence,Language,y,translated_occupation,status_lem,translated_occupation_lem,translated_occupation_category
Ahin,42.0,Service,single,male,I friendly practical understandable,en,0,service,single,service,service
Airik,44.0,Author,widowed,male,Im fortyfouryearold widower four years ready give love another try I natural healer writer I like read go walks watch movies generally hang significant Im meeting new people trying new things new experiences hope Send message lets see connect,en,0,author,widowed,author,media
alaaeldin,51.0,Engineer,separated,male,Egyptian Engineer working Georgia live Tbilisi like musicmoviessportsgoing outtravelling,af,0,engineer,separated,engineer,engineer
alamana57,65.0,retired,widowed,female,I Animal Nature lover active hyking swimming cross country skiing,da,0,retired,widowed,retired,retired
alex2701,30.0,Teacher,single,male,Im positive person loves life family friends I like go walks exercise cooking playing guitar piano,de,0,teacher,single,teacher,education
Alexander2,33.0,Care worker,single,male,I kind sincere young man love going good conversation funny cant make everyone laugh even hardest situations much,en,0,care worker,single,care worker,office
Alexmmar,35.0,Cobranza,single,male,I super cheerful tender loving sentimental hardworking responsible person goals life I like travel know places people,es,0,collection,single,collection,others
AlexNeyra,46.0,Chofer,single,male,I easygoing funny I love pets music singing travelling nature walking beach looking someone special,en,0,chofer,single,chofer,transport
Alexxa,42.0,Lawyer,single,female,Im attractive charming honest great sense humor educated wellmannered,cy,0,lawyer,single,lawyer,manager
Alex_xander11,61.0,Engineer,widowed,male,Im Alexander Holland live curitiba Brazil,af,0,engineer,widowed,engineer,engineer
alh07061986,36.0,Disabled,divorced,female,Im nice person Funny great around Im Catholic I believe god family,tl,0,disabled,divorced,disabled,unemployed
alphamsesay,35.0,IT Technician,separated,male,Tall black strong well built good looking physical athletic structure looking friendly relationship lead serious relationship marriage sierra leonean nationality currently based South Africa Durban,en,0,it technician,separated,it technician,engineer
Altrione,32.0,Self employed,single,male,Im earth guy loving caring smart intelligent soft hearted much peoples person I love kids,en,0,self employed,single,self employed,self employed
Amourous13,55.0,Retired,divorced,male,I Singaporean Chinese looking soulmate companion spend quality time together engaged mutually enjoyable beneficial physical activities,en,0,retired,divorced,retired,retired
AnaMaria6,68.0,retired,widowed,female,I like read travel meet new people I cheerful nature sometimes I deliberately stupid things,da,0,retired,widowed,retired,retired
anatolia,58.0,Retired,divorced,male,Just man planet Well educated honest loving life,tr,0,retired,divorced,retired,retired
Andrea8ne,23.0,Waitress,single,female,Looking female friend Dún Laoghaire near,fr,0,waitress,single,waitress,service
andreortiz,27.0,estudiante,single,female,hello guys Im andrea Im 22 years old Im psychology student Im loving romantic passionate person I like meet many people know tastes culture maybe find love I respect value people I like persistent achieve desires hola chicos soy andrea tengo 22 años soy estudiante de psicologíasoy una persona cariñosa romántica apasionada gusta conocer muchas personas saber de sus gustos cultura tal vez encuentre el amor respeto valoro las persona que hacen lo mismo por mi gusta ser perseverante lograr mis anhelos,es,0,student,single,student,education
andrewboss963,30.0,Teacher,single,male,I love know new people places ang things I love english music,de,0,teacher,single,teacher,education
Andy213432,29.0,Manager,single,male,Love around people going,tl,0,manager,single,manager,manager
Ang15,62.0,Retired,widowed,female,I widower lost husband 15 months ago Trying move easy I two grown children place So I live bungalow cats,en,0,retired,widowed,retired,retired
Angus,53.0,Agricultural Contractor,single,male,Country boy looking good mate see happens,ro,0,agricultural contractor,single,agricultural contractor,construction
Anibal_27,31.0,Arquitecto,single,male,SOY UNA PERSONA QUE ESCRIBE Y REFLEXIONA,ca,0,architect,single,architect,construction
Anjier,39.0,PhD student,divorced,female,I looking man serious transform life happiness love respect peace grow together,nl,0,phd student,divorced,phd student,education
Anna2277,31.0,manager,single,female,friendly smart girl I like read walk fresh air,tl,0,manager,single,manager,manager
Annanna,33.0,Marketing,single,female,Love music 70s 80s 90s Love read books,id,0,marketing,single,marketing,office
Annha,37.0,Telecomunicaciones,single,female,Authentic altruistic,es,0,telecommunications,single,telecommunication,service
Anniepears,44.0,health,separated,female,I dreamer romantic fun home buddy like sit home go walk read book cook listen stories send photo later,en,0,health,separated,health,medical
Annyabg4,32.0,Engineer,single,female,Anime horror suspense movies funny cute,af,0,engineer,single,engineer,engineer
anowar35,44.0,selfemployed,separated,male,I one simple person also make friendship good people,en,0,selfemployed,separated,selfemployed,self employed
Apachechieftoday7,55.0,Self employed,single,male,Kindhearted honest lovable,en,0,self employed,single,self employed,self employed
Apb1974,47.0,Tech,divorced,male,I single Dad I raised two daughters I never would want daughters disrespected As I endeavor type man The respect I demand daughters suitors I demand ladies,de,0,tech,divorced,tech,tech
April79,42.0,Sales,divorced,female,I first Christian mom 2 grown girls I 3 grandkids Photography passion,es,0,sales,divorced,sale,office
Archer73,82.0,Retired,divorced,male,I divorced since 1994 I never thought I would grow old alone Most people think I early 60s I think like 40 year old,tr,0,retired,divorced,retired,retired
Arkangel65,57.0,Handyman,widowed,male,Im 55 former Marine Widowed 3 years 28 years marriage,cy,0,handyman,widowed,handyman,service
arnab,55.0,engineer,married,male,professor love travelling reading,nl,0,engineer,married,engineer,engineer
arrivedagain,62.0,Civil Engineer,divorced,male,Raised children single parent Now children adults would like another child family I believe God plan us I know He doesnt want us lonely Im looking someone kind heart appreciate love I work hard dont believe woman work Maybe im old fashion I think Man provide Family,en,0,civil engineer,divorced,civil engineer,government
Artvazmat12,39.0,Management,single,male,Hi Im looking long lasting friendships And Im open relationship Please feel free contact I speak English Spanish,nl,0,management,single,management,manager
Arunhere,43.0,Business,separated,male,I generous calm person,de,0,business,separated,business,self employed
ash21moberly,32.0,nurse,single,female,Hello guys Im Ashley moberly mo Im 21 years old single Im nursing student Im love fun,ro,0,nurse,single,nurse,medical
ashley23mob,32.0,nurse,single,female,Hello guys Im Ashley single college student Missouri I outgoing I love fun spend time guy,ro,0,nurse,single,nurse,medical
Astrid09,25.0,Journalist,single,female,Hey Just looking friends dance every day,en,0,journalist,single,journalist,media
athenais,49.0,educator,widowed,female,Hello sincere gentlemen world I beautiful sensual yet classy playful I lived loved I experienced great joy great sorrow Although widow define I learn past love great faithfulness I proud mother adult daughter love family I gift instruction I teach profession My hobbies varied fulfilling ranging preparing fine dishes eat embroidering creative designs Travel one favorite activities something I wish I live healthy lifestyle absolutely zero addictions I strictly one man kind womanfaithful loyal amd honest fault I try see best people easily fo I seek man understands words monogamy loyalty faithfulness honesty respect A man also raised family best man embraces healthy lifestyle addictions He must love explore travel one hobbies heslthy keeps body top form I Above seeks true lasting longterm relationship hopefully lasts lifetime I NOT seek pen friend text buddy sexting partner Immaturity attractive Let us build wonderful friendship goes right loving exciting life together,ro,0,educator,widowed,educator,education
ATLdude,43.0,Engineering,separated,male,try meet new people order break loneliness issue,af,0,engineering,separated,engineering,engineer
atplcpl,51.0,airline pilot,divorced,male,I man living alone 170 cm 80 kg non smoker well educated clean organised,fi,0,airline pilot,divorced,airline pilot,manager
Aura4,66.0,Artist,divorced,female,I woman born México Like freedom honesty creativity truth alternative music cinema love laugh walk nature travel I designer artist I travel York daughter giving bird would like meet nice man,de,0,artist,divorced,artist,art
Av8or59,59.0,Retired,divorced,male,Returning Colorado seeking fun abs adventurousness partner,tr,0,retired,divorced,retired,retired
axelgutez,43.0,Ingeniero de sistemas,single,male,Im looking good woman intention serius relationship I would like children,de,0,systems engineer,single,systems engineer,tech
Babydoll40,39.0,Disabled,divorced,female,Ball fun big hearted,no,0,disabled,divorced,disabled,unemployed
Banawent,41.0,Operations Manager,divorced,male,I divorced father I cant say I love kids enough Theyre one greatest joys world I also huge family person I consider artsy person photography huge passion I love outdoors fishing hiking I love travel My favorite places go New York Colorado I traveled outside states would love go back I like movies theater I also okay relaxing home bag popcorn fireplace,en,0,operations manager,divorced,operations manager,manager
Baptist_63,58.0,Journalist,divorced,male,I God fearing man loves God affectionate respectful thoughtful romantic homey,en,0,journalist,divorced,journalist,media
Barbiebunch1962,59.0,Disabled,divorced,female,I 56 year old Latina looking Latino male interested games I serious I way old play games I looking someone wants love Im ready let love Inn thats think enrich life make happy I certainly best make happy I would love hear,tl,0,disabled,divorced,disabled,unemployed
barney,63.0,retired,single,male,single retired looking someone live,da,0,retired,single,retired,retired
Bassclef,50.0,Musician,divorced,male,I writer composer orchestral music jazz also musician bassist,ca,0,musician,divorced,musician,art
Bassman87,35.0,Factory Worker,single,male,Just got serious relationship Looking get back I like heavy metal anime women loke kids dogs lol,en,0,factory worker,single,factory worker,office
Batman,43.0,Executive,divorced,male,Travel lot like adventures activities love animals,ro,0,executive,divorced,executive,manager
BayouBengal20,45.0,Retired,single,male,Outgoing guy I love travel,tr,0,retired,single,retired,retired
BBCadventour,38.0,Doctor,widowed,male,Years ago I meet wife online till passing years ago After I took time Im finally going give another try So I figured try POF maybe Ill get lucky Hopefully Ill find someone I connect inside outside bedroom Im open minded hopefully Ill meet someone like Like care bears said Sharing Caring Now may little much woman send message anyways You never know might happen,es,0,doctor,widowed,doctor,medical
BeeFarm,59.0,Higher Education,divorced,female,I energetic person enjoys farming lifestyle I like keep things simple enjoy simple things life Im traveling I adventures checking local landscape literally,en,0,higher education,divorced,higher education,education
Belen2022,47.0,Teacher,divorced,female,Just days Malta would love meet nice man,de,0,teacher,divorced,teacher,education
Belmont,42.0,Ingeniero,single,male,I always speak truth sincerity heart following product destiny magic envelop us Im romantic loving men I looking special sincere woman wants share mutual magical love without limits conditions distances I fall love let loved every day together face future,af,0,engineer,single,engineer,engineer
Ben64116,43.0,Restaurant,single,male,Im single guy likes lots things fun Anything want know ask Im looking women Kansas City area talk get know meet person,ca,0,restaurant,single,restaurant,service
benjden,65.0,retired,single,male,3rd Party Descriptive Analysis Personality Report Ben strong need belong organizations groups chooses lucky attract thoughtful hardworking devoted individual Ben focuses energy problems issues moment painstakingly accurate working facts attentive details methodical applying qualities working Ben likes gatherings analyzing applying data useful purpose documenting results Quiet reserved Ben loyal devoted friend coworker takes responsibilities toward others seriously Sensitive sympathetic Ben good listener eager help people real practical ways Ben best drawing personal experiences also good people small groups oneonone situations patience genuinely sympathetic approach dealing people Ben makes pleasant reliable coworker exemplary employee tends harried uncomfortable supervisory roles Love Relationships Ben close friends extremely loyal ready provide emotional practical support moments notice The older friendship Ben value Ben devoted partners friends family usually excellent homemaker His home likely well kept inside Interior exterior meticulously maintained appointed traditional manner Ben apt find putting airs offensive tends prefer modest quiet friends rather boisterous ones As security seeking temperament Ben practical frugal type shares certain core values among belief strong work ethic need people institutions responsible importance following rules serving ones community Introversion While Ben may antisocial need private time space retreat world Unlike extroverts much socializing may zap energies derived exploring inner world ideas impressions pure thought Sensing Ben usually gathers information senses see hear taste touch smell physical world Ben concentrates energies actually exists ponder might exist much He usually practical relies common sense guide world Feeling Ben makes decisions subjectively based upon values important How people affected decisions important He likely make decisions based upon feels acceptable agreeable rather logical His truths founded values society lives Judgement He likes decisions made soon possible comfortable loose ends like see conflicts resolved soon possible preference wellstructured orderly lifestyle surprises Ben takes commitments seriously While inflexible like stick plan set motion I employed analysts 3rd Party Vivid Analysis Personality Report little space provide assessment So interested please contact balance section,da,0,retired,single,retired,retired
benjden00,65.0,retired,single,male,Nanaimo resident seeking 35 55 blond fit potential longterm relationship,da,0,retired,single,retired,retired
Benji26,29.0,Restaurant,single,male,I looking serious relationship I enjoy movies disc golf video games concerts,ca,0,restaurant,single,restaurant,service
Bentley00788,59.0,Entrepreneur,single,male,French american living Los angeles 30 yearsfun love travelenjoy beauty,fr,0,entrepreneur,single,entrepreneur,self employed
Berktree79,42.0,Electrician,single,male,Trying something new I clean start fresh start Focus happy finding I lot Ready real friend A real partner Someone back I big heart lot love give Made mistakes I learned,es,0,electrician,single,electrician,engineer
Better777,52.0,Gobierno,divorced,male,Im easygoing considerate loving happy hardworking humble friendly earth guy I would like meet lady similar traits I like exercising eating healthy dining movies watching tv shows parks museums traveling watching sports spending time familyfriends Soy un hombre tranquilo sin hijos agradable amoroso feliz considerado trabajador detallista serio que sabe lo que quiere al cual le gustaria conocer una mujer igual Soy delgado gusta hacer ejercicios 3 4 veces por semana comer saludable salir comer al cine ver programas de TV ir parques museos viajar ver deportes compartir con familia amistades,pl,0,government,divorced,government,government
Bgoat2,54.0,Disabled,single,male,Like lot things lately Ive working firearms Dam I hate part,tl,0,disabled,single,disabled,unemployed
Bgsbny,57.0,retired,single,male,Im single n wish find female marriage Baltic states promise shall come meet soon healthy VISA n come id delighted welcome capital USA,da,0,retired,single,retired,retired
Bgulley,25.0,Manager,single,female,Im 22 Ive always interested Russian men I want relocate,tl,0,manager,single,manager,manager
BigDawg757,38.0,Carpenter,single,male,Strongfunnyfast learnergreat kids,nl,0,carpenter,single,carpenter,self employed
bigdee1234dw,24.0,Unemployed,single,male,Im signal mountain looking nice girl chat,en,0,unemployed,single,unemployed,self employed
bigsweetiepie,64.0,retired,widowed,male,im easy going lay back kind guy,da,0,retired,widowed,retired,retired
biri56,58.0,Retire,divorced,male,Honest loving mature man loving life love beach walks cooking internal site seing travel,ro,0,retire,divorced,retire,retired
Blaine6969,51.0,Manager,divorced,male,Single dad looking relationship Work 4 times week,tl,0,manager,divorced,manager,manager
blakelake2017,37.0,Construction,in relationship,male,Just looking fun frisky gal make memories Nothing super serious unless click get,en,0,construction,in relationship,construction,construction
Blanco1982,40.0,Entrepreneur,single,male,I genuine person looking meet,fr,0,entrepreneur,single,entrepreneur,self employed
Bled4bathori,47.0,Musician,single,male,Im long haired guitaristinto kinds thingshit find,en,0,musician,single,musician,art
Blessedd69,52.0,Education,divorced,male,Sociable individual looking fun loving lady willing intrgrate,en,0,education,divorced,education,education
Blkm1188,45.0,Tech,divorced,male,Just looking someone real earth No drama,de,0,tech,divorced,tech,tech
Blkseaza,44.0,Business owner,separated,male,Im laid back body athletic height 510 Im curious safe play nice couple Very safe sane great bed fun friendly positive attitude graphic designer full adventure Great hygiene If keep secret lets fun adventuresses I need eat p I host night serious replies Im looking discreet affair women love get p ate I love f eating p grown sexy women blk women plz Latinos plus,en,0,business owner,separated,business owner,self employed
Bluejohn30,32.0,Laborer,single,male,Im single earth person im simple decent relation nature lover love adventure,es,0,laborer,single,laborer,construction
bobby11224,67.0,retired,widowed,male,64 yearold male height 6 slim build,da,0,retired,widowed,retired,retired
BobbyZ,49.0,Welder,single,male,Tattooed single dad laughter good conversation whatever adventures come way,de,0,welder,single,welder,construction
Boertjie48,51.0,Transport,widowed,male,Im tall athletic outdoors person Into fitness health,pt,0,transport,widowed,transport,transport
Bogosse,52.0,Business,separated,male,50 Year old separated 25 years marriage Athletic dynamic individual looking life loving woman spend time see,de,0,business,separated,business,self employed
Boogie48,39.0,Healthcare,separated,male,Mexican Male looking make friends I love mature Women Race color important,en,0,healthcare,separated,healthcare,medical
BorisNT,31.0,Receptionist,single,male,I moved Dublin September Croatia Firstly Im looking something honest real whatever comesFluent speaker Im still catching Irish accent,en,0,receptionist,single,receptionist,service
BOWIELOVER1,62.0,Disabled,separated,female,Hard rock metal alternative rock music lover like sports especially football LOVE TO FISH Like old John Wayne classic westerns Hate drama queenskings Quiet shy unless provoked Loner mostly cherish alone time,tl,0,disabled,separated,disabled,unemployed
boxia,44.0,INGENIERO,single,male,HOMBRE SERIO RESPONSABLE TRABAJADOR NO SOY UN ESTAFADOR,id,0,engineer,single,engineer,engineer
Bradley17,53.0,Teacher,divorced,male,Big heart big smile big laugh big hugs big kisses big affection big love big salsa dancing big adventuretravel big Europe South America big sharing life journey last magnificent woman Ill ever meet devoted,de,0,teacher,divorced,teacher,education
Brandon9503,27.0,Ing Industrial,single,male,happy fun romantic affectionate likes exercise outdoor activities adventure,id,0,ing industrial,single,ing industrial,construction
Brandywine76,45.0,Self employed,single,female,Fun Loving trying everything intent enjoying fullest,en,0,self employed,single,self employed,self employed
Bravefan93,29.0,Food service,single,male,Hi name Steven thibault I 28 years old I work cook foodprep dishwasher thirsty badger bar grill I cook grill dance sing I love play video games baseball I also play basketball tennis I love swimming exercising I respectful sweet caring kind outgoing guy If would like get know feel free message,en,0,food service,single,food service,service
BrayanJoya,31.0,Surveyor,single,male,I serious hardworking man good feelings I looking life partner meet goals together,tr,0,surveyor,single,surveyor,service
Brian1985,36.0,Plumber,single,male,Hi name Brian Im 35 since love cooking long walks along beach looking settle,id,0,plumber,single,plumber,service
brighithariana,20.0,Diseñadora Gráfica,single,female,I like read personal growth books travel meet new people cultures,es,0,graphic designer,single,graphic designer,art
brooklyn1349,69.0,RETIRED,widowed,female,ADVENTURE ARTS NATURE VOLUNTEERING COMEDY CLUBS FILMS MUSIC GOOD FOOD DANCING SNORKEL SUNSETS ON THE BEACH OR CITY MY GOAL IS TO TRY AND MAKE EACH DAY A WONDERFUL EXPERIENCE WITH MY BEST FRIEND COULD THAT BE YOU,de,0,retired,widowed,retired,retired
Bruwil28,50.0,Janitor,single,male,I easy going person I enjoy going movies flea markets,en,0,janitor,single,janitor,service
bry7795,45.0,welder,single,male,single father looking meet people moved back area,nl,0,welder,single,welder,construction
Bubbahammond,41.0,Sales,single,male,Im laid back guy plenty fun wants meet people,fr,0,sales,single,sale,office
bubby123,53.0,business owner,single,male,honest outgoing ready find friend,en,0,business owner,single,business owner,self employed
BugGil33,30.0,Artist,single,male,Hello Well I reliable person sociable I like meet socializing good people trust,de,0,artist,single,artist,art
Bullets78,49.0,Contractor,single,male,Fun free spirit friendly generous loving,es,0,contractor,single,contractor,construction
cactuspear,64.0,self employed,single,male,Honest trustworthy high energy young heart selfless,en,0,self employed,single,self employed,self employed
Cain817,41.0,Foreman,single,male,Tall sexy tatted Hispanic Fun honest love real people,pt,0,foreman,single,foreman,service
californianame316,46.0,Sales,single,male,Im new town I honest trustworthy I loyal fault I like music going Denver experience city,fr,0,sales,single,sale,office
CaNative,36.0,construction,single,male,Loyal honest true gentleman lots hobbies like anything Ask anything realist ill answer question truthfully,fr,0,construction,single,construction,construction
CAPMEJIAS,56.0,merchant,widowed,male,Sincere attentive friend affectionate loyal cunning romantic,en,0,merchant,widowed,merchant,trade
Carinaugly,39.0,Entrepreneur,divorced,female,A christian mother two explorer entrepreneur,fr,0,entrepreneur,divorced,entrepreneur,self employed
Carlos2019,43.0,Business Manager,in relationship,male,I love Singaporean women smart beautiful time,de,0,business manager,in relationship,business manager,manager
Carlosdiaz,27.0,INDEPENDIENTE,single,male,I young professional focused many dreams goals fulfill I sincere hardworking boy I really like work I like travel start business,id,0,independent,single,independent,self employed
CarlosGonzales777,34.0,Ingeniero,separated,male,Hello I Peruvian industrial engineer I would like meet girl meet us,af,0,engineer,separated,engineer,engineer
carlvelleri,35.0,self employed,single,male,lonely looking right one spend rest life,en,0,self employed,single,self employed,self employed
Carter_Keyes,49.0,Craftsman,separated,male,Surely You asked Is glass half empty half full kinda girl Me I say Its wrong freakin glass altogether I mean forget whole Grass Greener Syndrome I tend deny side even grass Ive mowed My lawn pulp Now doesnt make Me cynic Im realist I simply look sound logical solution issue A little Me general Im proud graduate form Kansas State earned degree Policy Management That doesnt elevate smartest quickest guy room better less formally educated I merely fact My achievement part My success life I decorated combat veteran US Air Force proudly support troops soldiers military men women work regardless party politics But Who I Ill tell Me I always one focused exact change bus others jostling either isle window seat Thats Me always top Not I ever left someone without toilet paper force use napkins random products happen within arms reach toilet Oh Ive always anticipated well need something You always rely Me make journey smoother Reliability tremendous quality youll never appreciated meeting Me But youve tasted find indispensable Being Me give You certain peace mind youll never experienced ability worry taking care world around times simply YOU taken care well I mountain top possessed Golden Goose Ive also swept perch committed sins atoned crimes parole papers hand Ive left abandoned Experienced homelessness grown heartless become better man This isnt Ive I used I I go next So know want get inspired feel desired held honor know valued If want Jerry McGuire moment Then get knees demand served bottomless glass Throw head back consumed intoxicating Elixir I promise hangovers guaranteed party always Nonstop So come jump waters fine I got You There cursory introduction man I friend I vow become I dont Spit Game Im G I Killer dont push Me Im protector valued asset I stand My ground Im afraid spill blood honor cause My friends defense race religion even stupidity Im seeking Soldier march beside Me A steadfast lighthouse within calm every storm I today I tomorrow I unwavering What I tell today I feel tomorrow I open conversation debate course My feelings persuaded different views standings I dont change My mind direction wind Make argument back facts I listen I open change false posturing I look forward reading Your words reply viewing script Dont timid venture question nothing I wont entertain tell given You ask Surely questions Nothing absurd edgy From moment let begin,en,0,craftsman,separated,craftsman,service
Carvalho60,61.0,Retired,widowed,female,I person Love GOD like know new cultures make new friends around world males females,tr,0,retired,widowed,retired,retired
CathyGreenEyes,50.0,Retired,single,female,Im living content dramafree life Im looking saved someone make happy huge responsibility put someone Id love find best friend hang things go sight seeing go walks go coffee etc Preferably selfaware someone always growing learning person understand others better always wanting best version human,tr,0,retired,single,retired,retired
Cerbers,25.0,Student,single,male,I Riga Technical university student looking new friends,de,0,student,single,student,education
cesarsauni,37.0,Administrative,single,male,I single man without children homely affectionate I like cook picnics travel I write poetry thoughts I looking loyal companion love share future,pt,0,administrative,single,administrative,office
cewjal,58.0,retired,divorced,female,Retired young happy independent lady likes keep life simple,da,0,retired,divorced,retired,retired
Chad49,52.0,Health care,single,male,Seeking lady believes God reads bible wants children,en,0,health care,single,health care,medical
Charles2020,37.0,Social worker,single,male,Hie thereIm loyal positive person good sense humouremotionally stableI spirit accepting difference people viewsi full respect people generalA fun loving person,en,0,social worker,single,social worker,office
Charlesd,53.0,Retired,divorced,male,Im Easy Going Very mellow Out Going,da,0,retired,divorced,retired,retired
CHARLIE333,52.0,Manager,divorced,male,Often business trips Belgrade Looking new challenge life Speaking little Srpski,tl,0,manager,divorced,manager,manager
Chezz,67.0,semiretired,single,male,Semi retired professional single suburban home Clean cut beard tattoos Dont hunt fish ride Harley Liberal,tr,0,semiretired,single,semiretired,retired
cholliew,71.0,Finance,separated,male,Separated divorcing looking fun friend play strings promises attached,it,0,finance,separated,finance,finance
Chrislpool65,57.0,Retail,single,male,Hi everyone new name Chris Liverpool living Cheshire,fi,0,retail,single,retail,service
Chris_r29,61.0,Self employed,divorced,male,Hard working fun loving adventurous God fearing I devoted man family friends God,en,0,self employed,divorced,self employed,self employed
ChuckCalvin,60.0,Business,single,male,Looking nice tall dark kind lady agreeable wants nice life living nice part USA I tall kind hearted girl I I comfortable many things city life country life Respectful people planet Earth Hope find someone interested partner life wiling work together matters even dont agree willing compromise solution,de,0,business,single,business,self employed
Ciara58,64.0,Retired,widowed,female,I 63 year old widow 1 married daughter 1 granddaughter I like flea markets Watching Old Hollywood movies,tr,0,retired,widowed,retired,retired
CL65,57.0,Business owner,divorced,female,Im empty nester want meet friend ot maybe true soul mate,en,0,business owner,divorced,business owner,self employed
CLEVE,78.0,RETIRED,divorced,male,MY NAME IS CLEVE I AM SINGLE AND LOOKING FOR A LADY TO DATE,de,0,retired,divorced,retired,retired
coldplay67,55.0,admin,divorced,male,I peace lifewith people differencesI live simple life also enjoy finer things I love musicdancingam romantici enjoy endless conversations good listener like chatting wth ppl meet new ppl make new friends learn much odaim hre find gf sex soulmate matter come wth open mind open heart sumthng happen gud problem,pt,0,admin,divorced,admin,office
cometome,62.0,Retired,widowed,female,I single lady ready find gentleman,tr,0,retired,widowed,retired,retired
Concon82,40.0,Stay at home mom,single,female,Im stay home mom grandson,en,0,stay at home mom,single,stay at home mom,unemployed
coolalone,62.0,Business,married,male,I trusted honest loving caring earth love travelling dinning,de,0,business,married,business,self employed
Coolchick,56.0,Administrator,divorced,female,Am decent honest reliable Dont smoke drink Love cooking moviesbeach walks nature,ro,0,administrator,divorced,administrator,office
Corsemagique,61.0,Consultant,married,male,Hi Easy going french man married open new relations I Like outdoors activities visiting Palma siesta restaurants red wine,ca,0,consultant,married,consultant,office
corvettec4,47.0,retired,widowed,male,New area love meet someone get know,da,0,retired,widowed,retired,retired
Craig82,40.0,Driver,divorced,male,A divorced guy looking move Looking someone start friends maybe build In end I hoping find someone marriage minded,no,0,driver,divorced,driver,transport
Crissy28,52.0,CSR,separated,female,Honest sincere sweet loving caring woman Looking true love honesty sincerity respect Someone I love take care rest lives,en,0,csr,separated,csr,office
Crystal01,54.0,Marketing,separated,female,Looking strong honest loving caring man treat,id,0,marketing,separated,marketing,office
csharp1996,26.0,No job,single,male,Hi Im Caleb Sharp Im 26 years old I born January 141996 North Oaks Hospital Hammond Louisiana 1152 PM I currently reside Springfield mom younger siblings,sl,0,no job,single,no job,unemployed
Cuteguy5819,56.0,Artist,married,male,I smiling blue eyes good sense humor intelligent nice,de,0,artist,married,artist,art
cutenmuscular,43.0,Technology,divorced,male,Cute gentleman 59 big brown hazel eyes short black hair dimples goatee muscular athletic physique broad shoulders caring loving affectionate heart gold,cy,0,technology,divorced,technology,tech
CVFerdinand,48.0,Finance,divorced,male,I simple person lot say I dont say much around I enjoy company others like minds around I get thrills finance I love play stock market The bulls gives quick rush bears keep pumping My wish besides share joy excitement fulfilling thrilling experience What takes place 80s 90s music videos I love compose music edit music videos I like Pro photography I really bad I would love play instrument I dont know I synthesizer violin set electric drums I stare wonder I missing Electric Guitar cast A cat comes visit every day I pet giver tasty goodies gone I dont know belongs seeks All though I love pussys attention I wish girl dreams instead real thing What I think I think I cool dude What I think I think missing life,it,0,finance,divorced,finance,finance
DaddyBigD,40.0,Construction,in relationship,male,Im fun If u wan na hit,en,0,construction,in relationship,construction,construction
Daddy_Freddie,57.0,Self Employed,divorced,male,I found family ancestry originated County Donegal Ireland desire learn possibly establish new acquaintances website I look forward getting know,en,0,self employed,divorced,self employed,self employed
daisysimoney,58.0,Entrepreneur,separated,male,I open minded carefree loving travelling lot meeting tens people line work A community worker go home dont want people come So meet people friends town villages I dont host parties home sanctuary family disturbances,fr,0,entrepreneur,separated,entrepreneur,self employed
Damian44,47.0,Security officer,single,male,I loving honest person love beach like watching movies love cooking,en,0,security officer,single,security officer,military
