username,age,occupation,status,gender,filtered sentence,Language,y,translated_occupation
BorisNT,31,Receptionist,single,male,I moved Dublin September Croatia Firstly Im looking something honest real whatever comesFluent speaker Im still catching Irish accent,en,0,Receptionist
BOWIELOVER1,62,Disabled,separated,female,Hard rock metal alternative rock music lover like sports especially football LOVE TO FISH Like old John Wayne classic westerns Hate drama queenskings Quiet shy unless provoked Loner mostly cherish alone time,tl,0,Disabled
boxia,44,INGENIERO,single,male,HOMBRE SERIO RESPONSABLE TRABAJADOR NO SOY UN ESTAFADOR,id,0,ENGINEER
Bradley17,53,Teacher,divorced,male,Big heart big smile big laugh big hugs big kisses big affection big love big salsa dancing big adventuretravel big Europe South America big sharing life journey last magnificent woman Ill ever meet devoted,de,0,Teacher
Brandon9503,27,Ing Industrial,single,male,happy fun romantic affectionate likes exercise outdoor activities adventure,id,0,Ing Industrial
Brandywine76,45,Self employed,single,female,Fun Loving trying everything intent enjoying fullest,en,0,Self employed
Bravefan93,29,Food service,single,male,Hi name Steven thibault I 28 years old I work cook foodprep dishwasher thirsty badger bar grill I cook grill dance sing I love play video games baseball I also play basketball tennis I love swimming exercising I respectful sweet caring kind outgoing guy If would like get know feel free message,en,0,Food service
BrayanJoya,31,Surveyor,single,male,I serious hardworking man good feelings I looking life partner meet goals together,tr,0,Surveyor
Brian1985,36,Plumber,single,male,Hi name Brian Im 35 since love cooking long walks along beach looking settle,id,0,Plumber
brighithariana,20,Diseñadora Gráfica,single,female,I like read personal growth books travel meet new people cultures,es,0,Graphic Designer
brooklyn1349,69,RETIRED,widowed,female,ADVENTURE ARTS NATURE VOLUNTEERING COMEDY CLUBS FILMS MUSIC GOOD FOOD DANCING SNORKEL SUNSETS ON THE BEACH OR CITY MY GOAL IS TO TRY AND MAKE EACH DAY A WONDERFUL EXPERIENCE WITH MY BEST FRIEND COULD THAT BE YOU,de,0,RETIRED
Bruwil28,50,Janitor,single,male,I easy going person I enjoy going movies flea markets,en,0,Janitor
bry7795,45,welder,single,male,single father looking meet people moved back area,nl,0,welder
Bubbahammond,41,Sales,single,male,Im laid back guy plenty fun wants meet people,fr,0,Sales
bubby123,53,business owner,single,male,honest outgoing ready find friend,en,0,business owner
BugGil33,30,Artist,single,male,Hello Well I reliable person sociable I like meet socializing good people trust,de,0,Artist
Bullets78,49,Contractor,single,male,Fun free spirit friendly generous loving,es,0,Contractor
cactuspear,64,self employed,single,male,Honest trustworthy high energy young heart selfless,en,0,self employed
Cain817,41,Foreman,single,male,Tall sexy tatted Hispanic Fun honest love real people,pt,0,Foreman
californianame316,46,Sales,single,male,Im new town I honest trustworthy I loyal fault I like music going Denver experience city,fr,0,Sales
CaNative,36,construction,single,male,Loyal honest true gentleman lots hobbies like anything Ask anything realist ill answer question truthfully,fr,0,construction
CAPMEJIAS,56,merchant,widowed,male,Sincere attentive friend affectionate loyal cunning romantic,en,0,merchant
Carinaugly,39,Entrepreneur,divorced,female,A christian mother two explorer entrepreneur,fr,0,Entrepreneur
Carlos2019,43,Business Manager,in relationship,male,I love Singaporean women smart beautiful time,de,0,Business Manager
Carlosdiaz,27,INDEPENDIENTE,single,male,I young professional focused many dreams goals fulfill I sincere hardworking boy I really like work I like travel start business,id,0,INDEPENDENT
CarlosGonzales777,34,Ingeniero,separated,male,Hello I Peruvian industrial engineer I would like meet girl meet us,af,0,Engineer
carlvelleri,35,self employed,single,male,lonely looking right one spend rest life,en,0,self employed
Carter_Keyes,49,Craftsman,separated,male,Surely You asked Is glass half empty half full kinda girl Me I say Its wrong freakin glass altogether I mean forget whole Grass Greener Syndrome I tend deny side even grass Ive mowed My lawn pulp Now doesnt make Me cynic Im realist I simply look sound logical solution issue A little Me general Im proud graduate form Kansas State earned degree Policy Management That doesnt elevate smartest quickest guy room better less formally educated I merely fact My achievement part My success life I decorated combat veteran US Air Force proudly support troops soldiers military men women work regardless party politics But Who I Ill tell Me I always one focused exact change bus others jostling either isle window seat Thats Me always top Not I ever left someone without toilet paper force use napkins random products happen within arms reach toilet Oh Ive always anticipated well need something You always rely Me make journey smoother Reliability tremendous quality youll never appreciated meeting Me But youve tasted find indispensable Being Me give You certain peace mind youll never experienced ability worry taking care world around times simply YOU taken care well I mountain top possessed Golden Goose Ive also swept perch committed sins atoned crimes parole papers hand Ive left abandoned Experienced homelessness grown heartless become better man This isnt Ive I used I I go next So know want get inspired feel desired held honor know valued If want Jerry McGuire moment Then get knees demand served bottomless glass Throw head back consumed intoxicating Elixir I promise hangovers guaranteed party always Nonstop So come jump waters fine I got You There cursory introduction man I friend I vow become I dont Spit Game Im G I Killer dont push Me Im protector valued asset I stand My ground Im afraid spill blood honor cause My friends defense race religion even stupidity Im seeking Soldier march beside Me A steadfast lighthouse within calm every storm I today I tomorrow I unwavering What I tell today I feel tomorrow I open conversation debate course My feelings persuaded different views standings I dont change My mind direction wind Make argument back facts I listen I open change false posturing I look forward reading Your words reply viewing script Dont timid venture question nothing I wont entertain tell given You ask Surely questions Nothing absurd edgy From moment let begin,en,0,Craftsman
Carvalho60,61,Retired,widowed,female,I person Love GOD like know new cultures make new friends around world males females,tr,0,Retired
CathyGreenEyes,50,Retired,single,female,Im living content dramafree life Im looking saved someone make happy huge responsibility put someone Id love find best friend hang things go sight seeing go walks go coffee etc Preferably selfaware someone always growing learning person understand others better always wanting best version human,tr,0,Retired
Cerbers,25,Student,single,male,I Riga Technical university student looking new friends,de,0,Student
cesarsauni,37,Administrative,single,male,I single man without children homely affectionate I like cook picnics travel I write poetry thoughts I looking loyal companion love share future,pt,0,Administrative
cewjal,58,retired,divorced,female,Retired young happy independent lady likes keep life simple,da,0,retired
Chad49,52,Health care,single,male,Seeking lady believes God reads bible wants children,en,0,Health care
Charles2020,37,Social worker,single,male,Hie thereIm loyal positive person good sense humouremotionally stableI spirit accepting difference people viewsi full respect people generalA fun loving person,en,0,Social worker
Charlesd,53,Retired,divorced,male,Im Easy Going Very mellow Out Going,da,0,Retired
CHARLIE333,52,Manager,divorced,male,Often business trips Belgrade Looking new challenge life Speaking little Srpski,tl,0,Manager
Chezz,67,semiretired,single,male,Semi retired professional single suburban home Clean cut beard tattoos Dont hunt fish ride Harley Liberal,tr,0,semiretired
cholliew,71,Finance,separated,male,Separated divorcing looking fun friend play strings promises attached,it,0,Finance
Chrislpool65,57,Retail,single,male,Hi everyone new name Chris Liverpool living Cheshire,fi,0,Retail
Chris_r29,61,Self employed,divorced,male,Hard working fun loving adventurous God fearing I devoted man family friends God,en,0,Self employed
ChuckCalvin,60,Business,single,male,Looking nice tall dark kind lady agreeable wants nice life living nice part USA I tall kind hearted girl I I comfortable many things city life country life Respectful people planet Earth Hope find someone interested partner life wiling work together matters even dont agree willing compromise solution,de,0,Business
Ciara58,64,Retired,widowed,female,I 63 year old widow 1 married daughter 1 granddaughter I like flea markets Watching Old Hollywood movies,tr,0,Retired
CL65,57,Business owner,divorced,female,Im empty nester want meet friend ot maybe true soul mate,en,0,Business owner
CLEVE,78,RETIRED,divorced,male,MY NAME IS CLEVE I AM SINGLE AND LOOKING FOR A LADY TO DATE,de,0,RETIRED
coldplay67,55,admin,divorced,male,I peace lifewith people differencesI live simple life also enjoy finer things I love musicdancingam romantici enjoy endless conversations good listener like chatting wth ppl meet new ppl make new friends learn much odaim hre find gf sex soulmate matter come wth open mind open heart sumthng happen gud problem,pt,0,admin
cometome,62,Retired,widowed,female,I single lady ready find gentleman,tr,0,Retired
Concon82,40,Stay at home mom,single,female,Im stay home mom grandson,en,0,Stay at home mom
coolalone,62,Business,married,male,I trusted honest loving caring earth love travelling dinning,de,0,Business
Coolchick,56,Administrator,divorced,female,Am decent honest reliable Dont smoke drink Love cooking moviesbeach walks nature,ro,0,Administrator
Corsemagique,61,Consultant,married,male,Hi Easy going french man married open new relations I Like outdoors activities visiting Palma siesta restaurants red wine,ca,0,Consultant
corvettec4,47,retired,widowed,male,New area love meet someone get know,da,0,retired
Craig82,40,Driver,divorced,male,A divorced guy looking move Looking someone start friends maybe build In end I hoping find someone marriage minded,no,0,Driver
Crissy28,52,CSR,separated,female,Honest sincere sweet loving caring woman Looking true love honesty sincerity respect Someone I love take care rest lives,en,0,CSR
Crystal01,54,Marketing,separated,female,Looking strong honest loving caring man treat,id,0,Marketing
csharp1996,26,No job,single,male,Hi Im Caleb Sharp Im 26 years old I born January 141996 North Oaks Hospital Hammond Louisiana 1152 PM I currently reside Springfield mom younger siblings,sl,0,No job
Cuteguy5819,56,Artist,married,male,I smiling blue eyes good sense humor intelligent nice,de,0,Artist
cutenmuscular,43,Technology,divorced,male,Cute gentleman 59 big brown hazel eyes short black hair dimples goatee muscular athletic physique broad shoulders caring loving affectionate heart gold,cy,0,Technology
CVFerdinand,48,Finance,divorced,male,I simple person lot say I dont say much around I enjoy company others like minds around I get thrills finance I love play stock market The bulls gives quick rush bears keep pumping My wish besides share joy excitement fulfilling thrilling experience What takes place 80s 90s music videos I love compose music edit music videos I like Pro photography I really bad I would love play instrument I dont know I synthesizer violin set electric drums I stare wonder I missing Electric Guitar cast A cat comes visit every day I pet giver tasty goodies gone I dont know belongs seeks All though I love pussys attention I wish girl dreams instead real thing What I think I think I cool dude What I think I think missing life,it,0,Finance
DaddyBigD,40,Construction,in relationship,male,Im fun If u wan na hit,en,0,Construction
Daddy_Freddie,57,Self Employed,divorced,male,I found family ancestry originated County Donegal Ireland desire learn possibly establish new acquaintances website I look forward getting know,en,0,Self Employed
daisysimoney,58,Entrepreneur,separated,male,I open minded carefree loving travelling lot meeting tens people line work A community worker go home dont want people come So meet people friends town villages I dont host parties home sanctuary family disturbances,fr,0,Entrepreneur
Damian44,47,Security officer,single,male,I loving honest person love beach like watching movies love cooking,en,0,Security officer
Damiano1971,50,Ingeniería,single,male,TENGO UNA PEQUEÑA EMPRESA QUE SE DEDICA A SERVICIOS ME GUSTA EL FUTBOL Y SOY HOGAREÑO,es,0,Engineering
Dan2025,59,Writer,divorced,male,I homebody looking meet nice lady,de,0,Writer
DANIEL0719650708,57,Construction,single,male,Honest trustworthy loyal hard worker,en,0,Construction
DanielG1969,53,Disabled,single,male,Im 52yr old looking someone younger Im currently disabled Im working company get invention patented market,tl,0,Disabled
danyfit,30,estudiante,single,male,I sociable loving cheerful person healthy lifestyle I like good conversations glass wine good dinner dance salsa,es,0,student
DaringDaddy66,56,Retired,single,male,Im retired chef looking excitement life And Im great pleaser kinks,da,0,Retired
Darren,42,Engineer,single,male,On holidays Tenerife looking someone sexy spend fun times,af,0,Engineer
Daryle,60,Construction superintendent,divorced,male,I recently gotten divorce finalized rough years 25 year marriage I would like find friend chat first could possibly lead steady relationship I value honesty sincerity good sense humor compassion,fr,0,Construction superintendent
David1408,27,Estudiante,single,male,I sincere affectionate I like animals especially cats I also like help empathic others,es,0,Student
Dawn2Earth,63,Entrepreneur,single,female,Friendship place begin If cant friends first cant anything I believe starting friends huge gift takes lot pressure 2 people If something grow develop come surprise IF happen I want MUTUAL relationship One dominating He walk beside The way I walk behind man view good A things know Im half Im already whole I dont need someone complete Im already person Dont rescue I rescued long time ago Dont try fix Im broken Thanks Im passionate career choice Some may call workaholic I LOVE I Plant Medicine helping people animals Mother Earthmy passions NOTE FIESTY runs family I think genetic disorder,fr,0,Entrepreneur
Dawnbreak75,47,Educator,single,female,Im Philippines resident Philippines I often go Vegas visit family I WOULD BE IN VEGAS THIS APRIL Im graduate medical course ended field education I belong big family independent I love pets since I used one I kid It I broken hearted I lost Champ I developed new hobby since pandemic plants So I I time Im homebody person I go friends Im looking someone would complement I complement I devout Christian important someone shares faith Im conservative type I easily taken aback aggressive personality On weekends Im usually home I also work home Unless gatherings meetings attend Movies I like Shawshank Redemption Primal Fear I also Mushy like Sweet November The Notebook childish nostalgic Disney Pixar Movies I love listening music always music house playing unless course Im working sleeping My friends asking I married I also dont know I believe I havent met one yet,ro,0,Educator
Dayday81,41,Construction,single,male,Im looking female become friends,en,0,Construction
DBrady157,63,Social Worker,single,male,I enjoy many interests trekking swimming reading books socialising cafes pubs shows meditating international travelling I financially secure,en,0,Social Worker
dcrockettk1,68,teacher,single,female,I country person heart would like meet earth man I set marriage would like companion I activities,en,0,teacher
DeaconBlue,54,Management,divorced,male,Hi I love life positive person try see best things I would like meet last first date Life beautiful much offer Enjoy life enjoy simple things hopefully find good person love journey Bless,nl,0,Management
deafgirl33,33,unemployed,single,female,I born deaf grow life long challenged hearing world I miracle times I use videophone easy way Communcation important,fr,0,unemployed
Dean0682,40,Management,divorced,male,I kind Honest Big Heart father 2,nl,0,Management
Debra1978,43,Nurse,widowed,female,I love live life last day earth,fr,0,Nurse
DecentMan,57,Engineer,separated,male,A professional working overseas,af,0,Engineer
Deepage1,38,Nurse,single,female,Mid age female exploring United States respectfully fun Hoping engage honest person,fr,0,Nurse
Deepak745,32,Self employed,single,male,Im decent man looking honest lady I love reality love travel romance lady,en,0,Self employed
Deivialejandro,42,Quimico,separated,male,I energy person enjoy good vibes life taking care feelings people,it,0,Chemical
DeliciousDave,49,Mechanic,separated,male,Ready serious relationship beautiful intelligent passionate woman No long drawn sharing letters person meeting soon meeting Life short lets start enjoying together,de,0,Mechanic
denisej02,57,Nurse,divorced,female,I looking friends I move Ireland,fr,0,Nurse
Diegouy,31,Estudiante,single,male,I would like learn Germany,es,0,Student
DiEli,36,Business Administrator,single,female,Hola Im Diana A latina currently living Christchurch NZ I love beaches running hiking going long walks Love dogs Im independent girl,en,0,Business Administrator
