username,age,occupation,status,gender,filtered sentence,y,translated_occupation
Vianey,21,Estudiante,single,female,hispanic Straight Christian nonsmoker occasional drinker Fun Friendship Romance Serious Relationship,0,Student
Villa2345,21,Independiente,single,female,white Bisexual Christian nonsmoker occasional drinker Serious Relationship,0,Independent
wasssiiimaaa,21,Estudiante,single,female,white Straight Muslim nonsmoker never Friendship Serious Relationship Marriage,0,Student
Yennynavarijo,21,Estudiar,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,To study
Nastya404,22,Manager,single,female,Hello Im Ukraine I came parents I running away war I want fun looking friend,0,Manager
amaliadiazz,22,secretaria,single,female,white Straight Other social smoker occasional drinker Romance,0,Secretary
Antonio12,22,Plomero,single,male,hispanic Straight Christian nonsmoker occasional drinker Friendship,0,Plumber
Ashlyy,22,Student,single,female,black Straight Christian nonsmoker never Fun Friendship Romance Serious Relationship,0,Student
Bella0712,22,Estudiar,single,female,black Straight Christian nonsmoker occasional drinker Serious Relationship,0,To study
Camisol,22,Contador,divorced,female,hispanic Straight Christian nonsmoker occasional drinker Serious Relationship,0,Contador
Danuska95,22,Estudiante,single,female,hispanic Bisexual Christian nonsmoker never Friendship,0,Student
Dcooper334,22,Salesman,single,male,white Straight Christian nonsmoker never Serious Relationship Marriage,0,Salesman
Eimy,22,Emprendedora,single,female,hispanic Straight Christian nonsmoker never Romance Serious Relationship Marriage,0,enterprising
Ericka21,22,Estudiante,single,female,mixed Straight Christian nonsmoker never Fun Friendship,0,Student
Fab,22,Estudiante,single,female,white Straight Other nonsmoker occasional drinker Serious Relationship,0,Student
FANNYCONTRERAS7,22,Estudiante,single,female,hispanic Straight Christian nonsmoker never Friendship,0,Student
Fanyv,22,Estudiante,single,female,hispanic Straight Christian nonsmoker occasional drinker Fun Friendship,0,Student
Helmelg21,22,Estudiando,single,female,hispanic Straight Other nonsmoker never Serious Relationship Marriage,0,Studying
Jon2511,22,Trabajo,married,male,native american Bisexual Other nonsmoker never Friendship,0,Worked
Kairobi,22,Estudiante,single,female,mixed Bisexual Atheist nonsmoker occasional drinker Friendship Romance,0,Student
Kaylyn,22,Estudiante,single,female,hispanic Straight Christian nonsmoker never Friendship,0,Student
Keirihisldb,22,Estudio,single,female,white Bisexual Other nonsmoker never Fun Friendship Romance,0,Study
Laura18,22,Enfermera,single,female,hispanic Straight Other nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,Nurse
Mariafernanada,22,Estudio,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,Study
Mariana1833,22,Estudio,single,female,hispanic Straight Atheist nonsmoker never Fun,0,Study
Meli3214,22,Estudiar,single,female,white Straight Other nonsmoker never Serious Relationship,0,To study
Melyperez27,22,Estudiante,single,female,hispanic Straight Christian nonsmoker social drinker Marriage,0,Student
Monique2550,22,Estudiante,single,female,hispanic Straight Other nonsmoker social drinker Friendship Romance Serious Relationship Marriage,0,Student
Nich1043,22,Clerk,single,male,white Straight Christian nonsmoker never Fun Romance Serious Relationship,0,Clerk
oria,22,Estudiante,single,female,hispanic Straight Spiritual nonsmoker never Friendship Romance Serious Relationship,0,Student
valentinamaya123,22,Estudiante,in relationship,female,white Straight Christian nonsmoker never Friendship,0,Student
Andrea8ne,23,Waitress,single,female,Looking female friend Dún Laoghaire near,0,Waitress
Gussi_98,23,Estudiante universitario,single,male,Hello name Gustavo im Monterrey Nuevo Leon im 22 years hobbies Soccer Play Bass Guitar Piano Sing Chess Pool Bowling like quiets ambients know english want relashionship Soy Gustavo soy de Monterrey Nuevo Leon tengo 22 años mis hobbys son el Futbol tocar la guitarra el bajo el piano cantar ajedrez boliche los ambientes tranquilos se poco ingles busco una relacion estable,0,College student
Mike166,23,Construction,single,male,Im Mike Finland im going Be Sweden weeks im looking fun maybe Make new friends I dont smoke drink sports every Day,0,Construction
sabdulwahid99,23,student,single,male,I 21 years old want find girl willing long distance relationship An communicate though instagram,0,student
schrodingersbunny,23,Student,single,female,Currently studying neuroscience masters I huge nerd fangirl love science learning discussion debates Currently trying learn drums salsa plus points teach Looking someone I great friends hopefully academia p share something special fun,0,Student
Tatiana98,23,Student,single,female,Trans,0,Student
UkrainianGirl22,23,Baker,single,female,Im YouTuber Gamer Artist,0,Baker
abdix3,23,Self Employed,single,male,black Straight Other nonsmoker never Fun Friendship Romance Serious Relationship Marriage,0,Self Employed
Afam,23,Ama de casa,single,female,mixed Straight Other nonsmoker social drinker Romance Serious Relationship,0,Housewife
Andreina19,23,Comerciante,single,female,white Straight Other nonsmoker occasional drinker Romance,0,Merchant
Blair18,23,maestra,single,female,hispanic Bisexual Spiritual nonsmoker occasional drinker Friendship,0,teacher
Bsztm,23,Ingeniero,single,male,hispanic Straight Other social smoker social drinker Romance Serious Relationship Marriage,0,Engineer
Camilaura12,23,Estudiante,single,female,hispanic Straight Spiritual nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,Student
Carmenpion20,23,Administradora de empresas,single,female,hispanic Straight Other nonsmoker occasional drinker Friendship Romance Serious Relationship,0,business administrator
Cora258,23,Teacher,single,female,mixed Straight Christian social smoker social drinker Romance,0,Teacher
Cristi21,23,Estudiante,single,female,hispanic Straight Other nonsmoker occasional drinker Friendship Serious Relationship,0,Student
Daniel981010,23,Tecnico,single,male,white Straight Other nonsmoker never Fun Friendship Romance Serious Relationship,0,Technician
Danihela2231,23,Estudiante,single,female,hispanic Straight Christian nonsmoker never Serious Relationship,0,Student
Elizabeth_Kravetz,23,Student,single,female,white Straight Atheist social smoker social drinker Serious Relationship Marriage,0,Student
Estelaayui,23,Estudio,single,female,white Straight Other nonsmoker never Friendship Romance,0,Study
Geneaide,23,Estudiante,single,female,black Homosexual Other nonsmoker never Romance,0,Student
Kateline,23,Estudio,single,female,hispanic Straight Christian nonsmoker never Friendship,0,Study
Kcarloss,23,Construction,single,male,hispanic Straight Other social smoker social drinker Romance,0,Construction
leonchi,23,student,single,male,hispanic Straight Spiritual nonsmoker social drinker Romance Serious Relationship,0,student
leonelaneyra,23,Estudiante,single,female,white Straight Other social smoker never Fun Friendship Romance,0,Student
Liap,23,Estudiante,single,female,white Straight Atheist social smoker never Friendship,0,Student
Mishely,23,Ama de casa,single,female,black Straight Atheist nonsmoker never Serious Relationship,0,Housewife
myliromero,23,Enfermera,single,female,hispanic Straight Christian nonsmoker social drinker Romance Serious Relationship Marriage,0,Nurse
sariit20,23,Estudiante,single,female,hispanic Straight Atheist social smoker occasional drinker Fun Friendship Romance Serious Relationship Marriage,0,Student
Sine99,23,Student,single,female,black Straight Christian nonsmoker occasional drinker Fun Friendship Romance Serious Relationship,0,Student
stfy,23,Secretaria,single,female,hispanic Straight Christian nonsmoker never Friendship,0,Secretary
Tina1537,23,Oficina,single,female,black Straight Christian nonsmoker social drinker Romance Serious Relationship,0,Office
Tommy_MB,23,Barbero,single,male,white Homosexual Other nonsmoker never Serious Relationship,0,Barber
Valeria_17,23,Estudio y trabajo,single,female,mixed Straight Atheist nonsmoker never Romance,0,Study and work
Venezolana2000,23,Estudiante,single,female,white Straight Christian nonsmoker social drinker Friendship Romance Serious Relationship Marriage,0,Student
Yacelis,23,Estudio,single,female,hispanic Straight Christian nonsmoker never Romance Serious Relationship Marriage,0,Study
yamiletperez67,23,Estudiante,single,female,hispanic Straight Christian nonsmoker never Romance,0,Student
Yulieth24,23,Esteticista,single,female,hispanic Straight Spiritual nonsmoker social drinker Serious Relationship,0,Beautician
Yume30,23,Estudiante,single,female,black Straight Other nonsmoker never Serious Relationship Marriage,0,Student
bigdee1234dw,24,Unemployed,single,male,Im signal mountain looking nice girl chat,0,Unemployed
JoshRaksa,24,Journalist,single,male,Im Brazil moving Canada next year Right I want able speak English people fun,0,Journalist
Krissy626,24,Nurse,single,female,I love southern land There nothing I love honest,0,Nurse
Lourdes0022,24,Student,single,female,I know name hard pronounce I go Lou well Im tourism management student work interpreter Love adventures traveling Im always crazy idea,0,Student
Niya,24,Customer service,single,female,I fun loving young woman looking start family,0,Customer service
Steve2429,24,Landscaping,single,male,I laid back easy guy get along My family close friends important I currently wonderful boys currently stay ex I 23 year old male I currently landscaping business I also auto mechanics vehicles side I looking young female ages 1928 would willing truthful healthy relationship In relationship I believe honesty plays huge factor success long run If think kind person feel free reach,0,Landscaping
19972020,24,Maestra,single,female,mixed Straight Christian nonsmoker never Friendship,0,Teacher
Adriana08,24,Enfermera,single,female,hispanic Straight Other nonsmoker occasional drinker Serious Relationship,0,Nurse
alejaduarte11,24,estudiante,single,female,white Straight Other nonsmoker occasional drinker Serious Relationship,0,student
Alejandro1,24,Atención al cliente,single,male,hispanic Straight Atheist nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,Customer Support
Amairani,24,Estudios,single,female,white Straight Muslim nonsmoker social drinker Friendship Romance Serious Relationship,0,Studies
Ambar19,24,Estudiante,single,female,hispanic Straight Christian nonsmoker occasional drinker Friendship Romance,0,Student
Antonio1234,24,Pintor,single,male,hispanic Straight Christian nonsmoker occasional drinker Fun Friendship Romance Serious Relationship Marriage,0,Painter
cata09876,24,estudiante,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,student
Corbyn26,24,Chef,single,male,mixed Straight Spiritual social smoker social drinker Fun,0,Chef
Cristian12,24,Estudiante,single,male,hispanic Straight Other nonsmoker social drinker Serious Relationship,0,Student
Danielaaop97,24,Barista,single,female,hispanic Straight Christian nonsmoker social drinker Romance Serious Relationship,0,Barista
Danielavargas,24,Estudiante,single,female,white Homosexual Other nonsmoker social drinker Romance Serious Relationship,0,Student
Day23,24,Estudiante,single,female,hispanic Straight Christian nonsmoker occasional drinker Friendship Serious Relationship Marriage,0,Student
Emilyhernandez,24,Futbolista,single,female,hispanic Straight Other nonsmoker occasional drinker Friendship,0,Soccer player
Ericklb23,24,Laboro,single,male,hispanic Straight Christian nonsmoker never Romance,0,work
Fuentesariana58,24,Estilista,single,female,hispanic Straight Spiritual nonsmoker social drinker Fun Romance,0,Stylist
Jailin,24,Estudiante,single,female,hispanic Straight Christian nonsmoker never Serious Relationship,0,Student
Jeancarolos28,24,Tecnico,single,male,hispanic Straight Other nonsmoker social drinker Fun Friendship Romance,0,Technician
Jesuslj,24,Construccion,single,male,hispanic Straight Christian nonsmoker never Serious Relationship,0,Building
Jorgevas,24,Musico,single,male,hispanic Straight Other social smoker social drinker Romance Serious Relationship Marriage,0,Musician
juap,24,ESTUDIANTE,single,male,hispanic Straight Christian nonsmoker never Fun Friendship Romance,0,STUDENT
Juli98,24,Electricista,single,male,hispanic Straight Atheist nonsmoker occasional drinker Fun Romance Serious Relationship,0,Electrician
Karolina09,24,Estudiante,single,female,white Straight Christian nonsmoker never Romance Serious Relationship,0,Student
Kawtar98,24,Lawyer,single,female,middle eastern Straight Muslim nonsmoker never Romance Serious Relationship,0,Lawyer
Kenifer,24,Comerciante,single,female,hispanic Straight Other social smoker never Serious Relationship,0,Merchant
KlarinkaMartinka,24,Student,single,female,white Straight Christian nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,Student
Leticiabr,24,Universidad,single,female,hispanic Straight Christian nonsmoker never Marriage,0,Universidad
Maddie24,24,Student,single,female,white Straight Christian nonsmoker never Friendship Serious Relationship Marriage,0,Student
Maryoine,24,Ama de casa,single,female,white Straight Other nonsmoker never Marriage,0,Housewife
Melanie_35,24,Universitaria,single,female,hispanic Straight Spiritual nonsmoker never Friendship Romance,0,university
MirianOcas02,24,Estudiante,single,female,hispanic Straight Other nonsmoker never Romance Serious Relationship,0,Student
Nancy98,24,Student,single,female,black Straight Christian nonsmoker never Fun Romance,0,Student
NicoleVML1997,24,Periodistas,single,female,hispanic Straight Christian nonsmoker never Romance Serious Relationship Marriage,0,Journalists
Orbe,24,Ama de casa,single,female,mixed Straight Other nonsmoker never Friendship,0,Housewife
Osmarah,24,Enfermera,single,female,hispanic Straight Other social smoker social drinker Fun Friendship Romance,0,Nurse
Purityjay,24,Nursing,single,female,black Straight Christian nonsmoker never Friendship,0,Nursing
raymitlepcha,24,Student,single,female,asian Straight Buddhist nonsmoker occasional drinker Friendship,0,Student
rockyraquel1016,24,military,single,female,hispanic Straight Christian nonsmoker social drinker Fun Friendship,0,military
Ros00,24,Estudiante,single,female,hispanic Straight Christian nonsmoker social drinker Romance Serious Relationship Marriage,0,Student
sajjal,24,student,single,female,asian Homosexual Other nonsmoker never Serious Relationship,0,student
scarper,24,estudiante,single,female,hispanic Straight Other social smoker social drinker Romance Serious Relationship,0,student
Soledad97,24,Estudiante,single,female,hispanic Straight Other nonsmoker never Friendship,0,Student
Sosafutbol98,24,Digitador,single,male,white Straight Spiritual social smoker social drinker Friendship,0,typist
Thulz,24,Student,single,female,black Bisexual Christian nonsmoker occasional drinker Fun Friendship Romance Serious Relationship,0,Student
WildAngel,24,Student,single,female,white Bisexual Christian social smoker social drinker Fun Friendship,0,Student
yhaisa,24,cajera,single,female,hispanic Straight Other nonsmoker occasional drinker Friendship,0,cashier
Astrid09,25,Journalist,single,female,Hey Just looking friends dance every day,0,Journalist
Bgulley,25,Manager,single,female,Im 22 Ive always interested Russian men I want relocate,0,Manager
Cerbers,25,Student,single,male,I Riga Technical university student looking new friends,0,Student
Gamer6949,25,Engineer,single,male,I happy confident ambitious person,0,Engineer
Isaac1997,25,Estudiando,single,male,I 23 I looking partner meet Norway goals getting ahead family,0,Studying
luckyduck123,25,student,single,male,love workout tons watch movies,0,student
paloma9,25,Estudiante,single,female,Hi I girl Mexico I 23 years old although days I 24 I like dancing lot,0,Student
SaidRicky,25,Estudiante,single,male,Like dancinggymcooking,0,Student
Aby2290,25,Universitaria,single,female,hispanic Straight Christian nonsmoker never Serious Relationship,0,university
Adridri,25,Estudiante,single,female,hispanic Straight Christian nonsmoker never Friendship Serious Relationship,0,Student
Alexander01,25,Conductor,single,male,hispanic Straight Other nonsmoker occasional drinker Serious Relationship,0,Conductor
Alvaro25jpm96,25,Guarda de seguridad,single,male,hispanic Straight Christian nonsmoker never Romance Serious Relationship Marriage,0,security guard
Anielle96,25,Estudiante,single,female,hispanic Straight Spiritual nonsmoker occasional drinker Friendship,0,Student
Axel7,25,Universitario,single,male,hispanic Straight Christian nonsmoker social drinker Fun Romance Serious Relationship,0,university
Carolina23,25,Enfermera,single,female,hispanic Straight Christian nonsmoker occasional drinker Serious Relationship,0,Nurse
Cristinai,25,Cocina,single,female,hispanic Straight Christian nonsmoker never Friendship Romance Serious Relationship Marriage,0,Cocina
Daneth,25,Estudiante,single,female,hispanic Straight Christian nonsmoker never Serious Relationship,0,Student
Danielafranco_1297,25,Estudiante,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,Student
Denob8,25,Management,single,male,black Straight Atheist social smoker social drinker Fun Friendship Romance Serious Relationship,0,Management
Dubann,25,Estudiante,single,male,hispanic Straight Other nonsmoker occasional drinker Romance,0,Student
Duvan611,25,Empresario,single,male,hispanic Straight Spiritual social smoker occasional drinker Fun Friendship Romance Serious Relationship Marriage,0,Entrepreneur
Ezekiel972,25,Enfermero,single,male,hispanic Straight Christian nonsmoker never Fun Friendship Romance Serious Relationship Marriage,0,Male nurse
Flightcrew777,25,Music producer,single,male,hispanic Straight Other nonsmoker occasional drinker Friendship Romance,0,Music producer
Fran2404,25,Transporte,single,male,hispanic Straight Other nonsmoker social drinker Serious Relationship,0,Transport
Gheraldyn,25,Enfermera,single,female,white Straight Other nonsmoker occasional drinker Friendship,0,Nurse
Got,25,Empresario,single,male,hispanic Straight Other social smoker social drinker Fun Friendship Romance,0,Entrepreneur
Jeferp,25,Uber,single,male,hispanic Straight Spiritual nonsmoker occasional drinker Serious Relationship,0,Uber
Jemima,25,Estudiante,single,female,hispanic Straight Other nonsmoker never Friendship,0,Student
JorgeOrtegacorrea,25,Ayudante,separated,male,hispanic Straight Christian social smoker social drinker Fun,0,Assistant
Kenai21,25,Estudiante,single,female,hispanic Straight Christian nonsmoker never Serious Relationship Marriage,0,Student
Lali96,25,Paralegal,single,female,hispanic Straight Christian nonsmoker occasional drinker Friendship Romance,0,Paralegal
Lilili,25,Cocinera,single,female,hispanic Straight Atheist nonsmoker social drinker Romance Serious Relationship Marriage,0,cook
LilyReales,25,Contabilidad,single,female,hispanic Straight Christian nonsmoker never Friendship Romance Serious Relationship Marriage,0,Accounting
Luzdi,25,Law,single,female,white Straight Other nonsmoker never Friendship,0,Law
marcel97,25,Cocinero,single,male,hispanic Straight Other nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,Cook
mariaamartinez,25,Student,single,female,hispanic Straight Christian nonsmoker social drinker Friendship Serious Relationship,0,Student
Mar_Cosmic24,25,Freelance,single,female,mixed Straight Atheist nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,Freelance
Matheo_Mazzini,25,Empresas,single,male,white Straight Atheist social smoker social drinker Fun Friendship Romance Serious Relationship,0,Companies
May-96,25,Empresario,single,male,black Straight Christian nonsmoker occasional drinker Friendship Serious Relationship,0,Entrepreneur
MM_,25,Abogado,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,lawyer
natan97gdl,25,obrero,single,male,white Straight Other social smoker never Serious Relationship,0,worker
natanaelFue97,25,obrero,single,male,hispanic Straight Other nonsmoker never Friendship Romance Serious Relationship,0,worker
nuneze,25,carpintero,single,male,hispanic Straight Other nonsmoker never Fun Friendship Romance Serious Relationship,0,carpenter
PabloSoler,25,Sailor,single,male,white Straight Christian nonsmoker social drinker Friendship Romance Serious Relationship,0,Sailor
RalphI,25,English teacher,single,male,white Straight Christian light smoker occasional drinker Serious Relationship,0,English teacher
rao,25,student,single,male,white Straight Christian nonsmoker never Romance Serious Relationship Marriage,0,student
smachore,25,Propio,single,female,black Straight Other nonsmoker social drinker Fun,0,own
Ulises300,25,Construction,single,male,hispanic Straight Spiritual social smoker social drinker Fun Friendship Romance,0,Construction
Yesicalondon,25,Mercadeo,single,female,mixed Straight Other nonsmoker social drinker Friendship,0,Marketing
ZullynAzul2,25,Estudiante,single,female,white Straight Christian nonsmoker never Serious Relationship,0,Student
csharp1996,26,No job,single,male,Hi Im Caleb Sharp Im 26 years old I born January 141996 North Oaks Hospital Hammond Louisiana 1152 PM I currently reside Springfield mom younger siblings,0,No job
kenwalker22,26,CSR,single,male,I friendly love meet new people make new friends visiting panama july 29 2022 hope meet make new friends,0,CSR
Margott,26,Driver,single,female,My friends consider affectionate kind loving person I like outdoors nature dancing swimming ocean going movies live music,0,Driver
Mdy,26,Employed,single,female,Compassionate friendly selective love quietness comfort home dont like routine Free spirited truly loyal persons I accept life love animals nature I pets Business minded Love reading learning meaningful things,0,Employed
Rosee,26,Independiente,divorced,female,I like sports travel I looking person get married children husband smart start business,0,Independent
13021991Jb,26,Administrador,single,female,mixed Straight Christian nonsmoker never Fun Friendship Romance,0,Administrator
Aaaaaa,26,Estudiante,single,female,white Straight Other nonsmoker occasional drinker Friendship,0,Student
albertopl,26,ingeniero,single,male,black Straight Other nonsmoker never Romance,0,engineer
Alejandro96,26,Trabajo independiente,single,male,hispanic Straight Other nonsmoker social drinker Serious Relationship,0,Independent work
Alexishkoissfgjuik,26,Estudiante,single,male,white Straight Christian nonsmoker social drinker Romance,0,Student
Alexssm2504,26,Ingeniero,single,male,hispanic Straight Christian nonsmoker social drinker Friendship Serious Relationship Marriage,0,Engineer
Alf7,26,Comerciante,single,male,hispanic Straight Other social smoker social drinker Fun,0,Merchant
Andy24,26,Clerk,single,female,black Straight Christian nonsmoker occasional drinker Friendship Romance Serious Relationship,0,Clerk
Andy95,26,Ingeniero,single,male,mixed Straight Atheist light smoker occasional drinker Fun Friendship Romance Serious Relationship,0,Engineer
annann,26,Oficinista,single,female,white Straight Other social smoker occasional drinker Fun Friendship,0,Office worker
Antonio3321,26,Ingeniero mecanico,single,male,mixed Straight Other nonsmoker social drinker Marriage,0,Mechanical engineer
AraceliSp,26,Estudiante,single,female,mixed Straight Other nonsmoker never Friendship Romance Serious Relationship,0,Student
Asfa2803,26,IT,single,female,asian Straight Muslim nonsmoker never Friendship,0,IT
Bartu,26,Student,single,male,white Straight Muslim nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,Student
Benferr,26,Construction,single,male,white Straight Christian nonsmoker never Fun Friendship Romance Serious Relationship Marriage,0,Construction
Bonismynutz,26,Retail,single,male,mixed Bisexual Other nonsmoker occasional drinker Fun,0,Retail
catcatcat,26,Estudiante,single,female,hispanic Bisexual Other social smoker occasional drinker Friendship Romance Serious Relationship,0,Student
Cazeault95,26,Cashier,single,male,black Straight Christian nonsmoker never Friendship,0,Cashier
Cesar2321,26,Constructor,single,male,hispanic Straight Other nonsmoker never Friendship,0,Constructor
Chrizttian,26,Estudiante,single,male,hispanic Homosexual Other nonsmoker never Romance,0,Student
Cooner,26,Electric,single,male,white Straight Spiritual nonsmoker social drinker Romance,0,Electric
Cristian96,26,Ayudante,single,male,hispanic Straight Spiritual nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,Assistant
Cristianmanuel2015,26,Gerente,single,male,mixed Straight Christian nonsmoker occasional drinker Romance,0,Manager
crosthainDis,26,Abogado,single,male,hispanic Straight Other social smoker occasional drinker Fun Friendship Romance Serious Relationship Marriage,0,lawyer
Dacbest,26,Student,single,male,black Straight Christian nonsmoker never Fun Friendship,0,Student
Dales,26,Estudiante,single,female,hispanic Straight Christian light smoker occasional drinker Serious Relationship,0,Student
Danielromero96,26,Emprendedor,single,male,hispanic Straight Other nonsmoker occasional drinker Serious Relationship,0,Entrepreneur
Darielg264,26,Ingeniero,single,male,white Straight Other nonsmoker occasional drinker Serious Relationship,0,Engineer
DarMarie,26,Asesora,separated,female,middle eastern Bisexual Christian nonsmoker occasional drinker Friendship,0,adviser
David456,26,Estudiante,single,male,hispanic Straight Christian nonsmoker never Romance Serious Relationship,0,Student
DianaG07,26,Estudiante,single,female,hispanic Straight Christian nonsmoker never Friendship Serious Relationship,0,Student
DianaZe,26,Estudiante,single,female,native american Straight Other nonsmoker never Friendship Romance,0,Student
Dianiii,26,No trabajo,single,female,mixed Straight Other nonsmoker never Fun,0,I don't work
Dilver,26,Electricista,single,male,hispanic Straight Christian nonsmoker never Friendship,0,Electrician
Eri122,26,Estudio,single,female,pacific islander Bisexual Other nonsmoker never Friendship,0,Study
Facundo8A,26,Periodista,in relationship,male,hispanic Straight Christian nonsmoker never Friendship,0,Journalist
Fernandob24,26,Trabajo independiente,single,male,mixed Straight Christian social smoker social drinker Fun Friendship Romance,0,Independent work
Gabrielvaquedano,26,Abogado,single,male,hispanic Homosexual Christian nonsmoker never Fun Romance Serious Relationship,0,lawyer
isaelgotera23,26,Electricidad,single,male,black Straight Other nonsmoker never Friendship Romance Serious Relationship,0,Electricity
Jairo96,26,Ingeniero,single,male,hispanic Straight Other nonsmoker never Romance Serious Relationship Marriage,0,Engineer
Javier666,26,Chofer,single,male,hispanic Straight Other light smoker occasional drinker Fun Friendship Romance,0,Chofer
Jazmin966,26,Niñera,single,female,mixed Straight Other nonsmoker never Serious Relationship,0,Baby sister
Jessica9,26,Student,single,female,black Straight Christian nonsmoker occasional drinker Serious Relationship,0,Student
Jissell,26,Niñera,single,female,white Straight Christian nonsmoker never Serious Relationship,0,Baby sister
Jonathan2515,26,Sales,single,male,hispanic Straight Christian nonsmoker never Serious Relationship Marriage,0,Sales
jorgeperez,26,Ingeniero Industrial,single,male,white Straight Christian nonsmoker never Friendship,0,Industrial Engineer
Joseph1995,26,Independiente,single,male,white Straight Christian nonsmoker never Friendship,0,Independent
josh134,26,student,single,male,white Straight Christian nonsmoker never Fun Romance Serious Relationship,0,student
