username,age,occupation,status,gender,filtered sentence,y
 AdamsHeart43, 43, consulting, widowed,male,I Romantic Outgoing Warm hearted outlook life Ambitious Independent Optimistic goals Family Career FunI like hang Professionals Creative people Intellectuals I enjoy eating Italian BBQ Sea food I prefers listening Country Blues Gospel music My main hobbies include Writing Cooking Traveling favorite sports Golf Soccer Jogging I enjoying everyday life aint coming backlooking continue enjoying part life positive outlook Taking care important I run 10 miles per week go torture chamber called bootcamp stay shape eat healthyI expect return person I meet spend time I work hard figure way take vacation often stay refreshed avoid routine lifestyle I feel better right I ever entire life I like learn explore new adventuresI enjoy cooking please taste risk I end cooking youlolI decided give website shot new adventures part life,1
 adamsslattery, 45, military, divorced,male,My name Slattery born raised Cleveland Ohio right deployed service Syria I 45 years old looking serious relationship,1
 ademir,49, Engineer, divorced or widowed,male,I outgoing warm romantic man I looking serious woman serious relationship I attentive towards close people I need much attention also live without people I love I ready give time attention love care future Wife I would like Husband I want become best friend All I want return tenderness love,1
 admiredmaria, 35, nursing, single,female,I lot caring true love Just open mind come across find happiness I also honest responsible good heart love family serious looking God fearing man,1
 adriana, 34, Self-Employed, single,female,I beautiful sensuous sultry Goddess enjoys nothing using wonderful female charms dominate ensnare lucky enough fall clutches Deep mysterious I stunning Mediterranean beauty mesmerizing brown eyes,1
 Adventureman784, 61, self employed, widowed,male,I spiritual religious Catholic I straightforward strong willed therefore I dont smoke allI believe treating others I like treated kindness courtesy consideration honesty respect etc I judge others God I prejudice unless comes someones negative bad character lack respect courtesy kindness honesty etc I view others eyes windows soul heart physical features attributes Actions speak louder words search good woman really know life ready settle meWho ready share ready understand loving caring honest God fearing faithfulI like meet someone serious relationship,1
 adventureseeker, 47, architect, divorced,male,I outgoing easygoing person kind shy first meeting someone get along time goes I energetic hardworking man I love job passion dedication commitment I caring genuine funloving person enjoys life I honest loyal I earth loving compassionate person I kind big heart I love laugh make others laugh I loving caring kind honest faithful truthful affectionate passionate optimistic easygoing outgoing good sense humor understanding During spare time I like hang friends listen music BBQ gardening watch TV outdoor things I romantic time I try objective evaluating world surrounding I like admiring seascape make feel like leaving distant journey learning something new never known I like fun laughing making people laugh well I enjoy going walks communicating cuddling special person spoiling treating like woman treated utmost respect I love candles I romantic person holding watching movie I love outdoors I always something interesting I love go dancing woman I racist people equal matter color nationality human,1
 afredisreal, 45, selfemployed, widowed,male,honest good looking man God fearing person love reading Bible praying much understanding,1
 ahmad, 51, business, divorced,male,interesting happy start good relationship one choose I introduce better soon since meeting sit,1
 aishamo, 28, self employed, single,female,I nice easy going person like close people time like traveling making new friends,1
 alan1234, 50, contractor, widowed,male,I believe treat others way want treated I earth optismistic family oriented I always like finish goals I start,1
 alanhurvitz, 51, Petroleum Engineer, widowed,male,Im easygoing thoughtful considerate man looking special woman I good sense humor hold conversation lots things I enjoy oneonone conversation participate groups well I consider good listener loyal friend,1
 alastairgreener33122, 45, Mechanical Engineer, single,male,aloving caring man care one love lot honest open minded man gentle things right wayi dont cheat partner,1
 albanell, 47, military, widowed,male,Im kind Humble good heart great values human life My friends close never question whether words I say sincere,1
 albert, 51, engineer, single,male,Im looking warmhearted compassionate women spend share grow enjoy rest life In meantime I ready excited dance fun ritual discovery people Im NOT looking casual sex I want meaningful life This line part growing part,1
 albert678, 58, seaman, widowed,male,MY NAME IS ALBERT LEWIS I AM FROM FLORIDA UNITED STATE OF AMERICA I WAS BORN ON 28TH OCTOBER 1959 I GOT MARRIED BEFORE I AND MY LATE WIFE WERE BLESSED WITH ONE DAUGHTER BEFORE SHE PASSED AWAY SHE GOT A CAR ACCIDENT WHICH LEAD TO HER DEATH SHE DIED LAST 8 YEARS AGO SORRY I DONT MEAN TO TALK ABOUT THAT FOR NOW I AM A SEAMAN I HAVE BEEN TRYING TO MATCH UP WITH LIFE SINCE AFTER THE LOST MY LATE WIFE I REALLY FIND IT DIFFICULT FINDING ANOTHER LIFE PARTNERI ALWAYS GIVE ALL MY BEST IN TERMS OF LOVE HOPE I CAN FIND A GOOD LIFE PARTNER WHO WILL MAKE ME HAPPY AGAIN THAT WILL LOVE ME TOO THE WAY I AM,1
 Albertb, 56, engineer, widowed,male,Am easy going fun gentleman,1
 alberto70, 44, Medical Doctor, widowed,male,Im caring loving man likes honesty outgoing spontaneous love god Im earth enjoy walks life I want happy content share things partner compromise spoil love one another friend partner,1
 albrightsilva, 48, military, widowed,male,currently work US Army protective military personnel independent kindhearted self organized personsimple romantic easy going man looking good friends serious intentions want meet nice serious woman good sense humor interested settling happy familyat leisure spend quality time families swimming picnic camping gym barbeque romance pleasurable act,1
 aleesa, 25, student, single,female,Student Simple lovely honest like watching football reading books want guy good heart honest going,1
 Aleksa0207,18, doctor, single,female,Hello everyone I live Ukraine work docotr I like sports aerobics cycling In free time I read book watch movie cook something tasty I came find mature man wants strong serious relationship If like profile please leave message I waiting,1
 Alenas, 32, self employed, single,female,I new first time online looking meet someone ready love loved I shy reserved introvert would say family kind want love looking simplest things life please hesitate hit yo,1
 aleshajames, 29, secretary, single,female,alesha would love make friends love gist songs acting enough guess,1
 Alesp70, 45, Medical, widowed,male,Im caring loving man likes honesty outgoing spontaneous love god Im earth enjoy walks life I want happy content share things partner compromise spoil love one another friend partner,1
 Alex121blizz123, 49, doctor, widowed,male,I consider optimistic faithful loyal kind tender understanding respectful My friends say I soul company I agree I communicative I get along person I active energetic great pleasure try new things travel explore new beautiful places I open adventures deep soul I dream wonderful nice adventure happen I like sing mind I nice voice I like meet woman good heart thats fully ready face relationship fun,1
 alex345, 49, engineer, widowed,male,I simple honest man great sense humor I romantic heartI love laugh positive outlook lifeI lonesome I ready accommodate happiness love back lifeI want settle happily woman dreamsomeone I share lifemy love everything forever moresomeone good visionintention approach lifesomeone comfortable believes life short lonelyI good listenercompassionate looking long term relationship,1
 Alexa15, 35, –, single,female,I kind loyal honest cheerful energetic romantic cheerful sincere woman,1
 Alexander80, 35, medical doctor, single,male,Am Alex name young man living UK I single never married nd right nw age longer side need get good wife Ps u wan na know jst message Thanks,1
 alexandre, 52, self employed, divorced,male,Im fun somewhat shy initially outgoing getting know Im thinker I like quiet times meditate often Hiking biking still play golf skiing climbing big ones though frequent past horseback riding mountains fly fishing sometimes I still go chase big ones timber activities part life I like shorts jeans summer comfortable dressed nines I dont mind gardening great garden I like finer things life never regret career choice I honestkindcaring understand good sense humorpassionate heart thats looking stable relationship I understand important lay lasting foundations lasting relationship I active person enjoys cycling running best I believe keeping fit important I ready final relationship grow golden years My desire meet beautifulsensitive sensuous warm assertive single woman wants long term relationship My interpretation real woman one pour contents heart chaff grain together knowing gentleness hands take sift keep worth keeping breath kindness blow rest away If I havent chased still interested please write lets get know And finally partner friend lover afraid commitment intimacy monogamous lasting relationship,1
 Alexandrra, 36, Fashion designer, single,female,Am nice caring woman one kind love making man smile honest funny earth easy going love laugh cuddle respectful know treat man sensitive side well wild side Im also romantic spontaneous I believe non cocky way rare find lot offer type woman way selfish anyway dishonest believe honesty communication trust huge things relationship,1
 alexclarky, 30, engineering, single,male,IM ALEX IM HERE TO MEET THE SPECIAL ONE FOR ME IM BEGGING U GUYS TO PLEASE LEAVE ME ALONE COS IM NOT GON NA PAY ANY OTHER MONEY TO U AGAIN HOW I WISH THAT IM GON NA MEET JUST ONE WOMAN WHO IS GON NA BE SINCERE LOVING AND CARING TO ME I DONT REALLY CARE ABOUT THE AGE DIFFER ALL I WAN NA GAIN IS HAPPINESS AND REST OF MIND THAT IS ALL THAT MATTERS TO ME NOW AND NOT BEAUTY OR RICHES IF U GON NA GIVE ME UR HEART FOR REAL IM GON NA GIVE U MINE TOO PLEASE IM NOT HERE FOR WEBCAM CHAT OKAY IM NOT INTERESTED ON IT COS I DONT WAN NA BE HURT AGAIN I HAVE BEEN FOOLED BEFORE ITS NOT GON NA HAPPEN AGAIN OKAY PLEASE READ THIS BEFORE U ADD ME I WAN NA SEE SOME GENUINE AND NOT SCAM NICE TO MEETING U THANK ALEX,1
 alexdrude,48, Marine Engineer, widowed,male,My name Alex im piping engineer currently working Seawell corp Im straight person welcomes positive people around I love talking walk cycling swimming research hobby Im widowed got kid Got black hair eyesClothing styles always coperate office shirt jeans field I think best part brains im funny lively fellow like I heard stories friends reLatives got love site hence decided try luck Maybe lucky enough meet woman dreams someone love im ready make life soul mate hope meet woman love give heart promise treat like queen make whole women jealous,1
 alexhoward7575, 32, military army, single,male,Am alex howard Los AngelescaliforniaI need trustworthy woman companionshipPlease dont live USA dont message meemailAlexhoward1960gmailcom,1
 alexil, 47, building contractor, divorced,male,Im fun outgoing active person full life I maintain balance career family personal life I love nature adventure sunshine moonlight good laugh Im happy caring romantic passionate person loyal friend Im generally earth appreciate finer things lifeI outgoing personality damaged people I though cared I careful I give heart I love almost anything outdoors I dream nice walk along garden path lighthouse waterfall enjoyable companion I dream sailing glorious island paradise jovial friendI love long walks beach candlelight dinners romantic heart im considerate caring person always willing go extra mile relationshipand expects returnSometimes quiet first meeting I get know somebody I holding hands competitng going quiet trail ride beach My Little Daughter important person life You need able share sort passion animals big part life moment need depend Beside I love go soccer game Nascar Motorcross Drag Racesim sort kid heartbut dress nines special occasion Im family Oriented man I cherish friends Im casual comfortable suits enjoy going somewhere special getting dressed I love barbecue EVERYTHING put grill Im ease backyard barbecue social function hold conversation anyone I looking female companion go walksto enjoy ocean lake mountains share interesting conversation someone easy goingMy perfect match would someone I lot fun someone outgoing afraid speak mind Also respect important I believe need give respect recieve respect Another important quality relationship mind would enjoy spending quality time special someoneId like meet woman great sense humor laugh shell need confident honest caring affectionate sweet When talk phone person I would like hearsee smile laughter voice I really love bighearted woman Im women stuck ones income status I need honesty dont like liars I enjoy hearing day went snuggling together Compatibility trust good foundation chemistry key factor great relationship I honest raised old fashion wayI would love meet someone shares passion something livessomething truly enjoy I feel blessed passion become profession I think truely success To meet someone interests passions willing share life together separate interests healthy I lots love offer right personseems like judgement hasnt best past years I try letting someone else lead right direction Laughter important meit cure multitude woes IF YOU LIKE WHAT YOU READ AND YOU FEEL YOU WOULD LIKE TO CHAT IM WITH THIS ON YM heartdesire2013yahoocom THEN DROP ME A LINE,1
 alexis231, 56, Engineer, divorced,male,I would describe easygoing sociable openminded person loves adventures discover new things around world getting knowledge impressive world I dream happy family give love attention family I dream see lot amazing places world lovely woman I want enjoy every minute happy life I characterise happy person happiness I miss main Darling share love affection tenderness I dream happy family give love attention family My heart always open nice people And I hope live heart Come dear I waiting,1
 alexis5, 46, army, single,male,Im looking anyone I know Im looking I want please move keep looking You must kindest earth angel puts people self one honest hurts Loving caring giving loves much smiling laughing time left unhappy My preference earth angel 52 55 somewhere around 130 lbs give take little maybe 50quots Sorry sounds snobbish thats I attracted lets honest attraction probably wont work A relationship physical mental spiritual attraction maybe necessary order work I dont want jump bed first see even like want take time get know first learn likes dislikes I mean could I ever fall love girl even know like ice cream know I mean I enjoy enjoying simple things life like taking walk holding hands end picnic hop car knows end flea market end day nice dinner I also dont think anything wrong stay home I cook wonderful meal cuddle watch little tv Maybe I expect much I like want Im looking change anyone want enjoy totally peaceful loving relationship earth angel If sounds like looking totally honest please respond back If please move Hoping hear one Oh ya PLEASE angel,1
 Alexisseek, 33, Accountant, single,female,helloam quite sure write herealways open book got noting hidethank,1
 alexm234, 55, military, divorced,male,looking someone loyal knows wantSomeone sticks thick thinsomeone times roughSomeone run away every 6 weeks begged comeback,1
 alexmadison23, 27, model, single,female,I maybe attractive girl prove self im beautiful im one pleasant companion know guys loved girl give want one characteristic,1
 alexrla, 45, Self-Employed, divorced,male,A little Alexander RalfI 46 years old I born Breme Germany moving MiamiI love show love affection especially I love ummmI enjoy simple things like dancing cookingI love good musicjazzR n B country music love shopping I less busy I love romantic dinners walks beaches parksunrises sunsets watch stars night appreciate wonders I Love show affection touching touchedI looking long term relationshipMarriagenot one night standI divorceso LOL,1
 Alexthomas450, 60, doctor, widowed,male,I Surgeon Doctor united kingdompresently working United Nation UN Soldiers Syriai sent President Barrack Obama secure taking care health USA Soldiers Army lives I like meet someone spend rest life OR I Am doctor Charles luiz Dublin Ireland good sense knowledge work United nation Syria special assignment treat worded Army peace keeping mission Syria would love meet lovely lady love,1
 alexxjohn, 48, engineer, widowed,male,I determinate cheerful sensitive secure Im kind hearted open minded respectable sincere honest person caring kind simple loyal kind social smart intelligent passionate friendly romantic believe truth honest love big heart hard needed sincere comes sharing feelings emotions special person really honest things say cause dont lie also willing try anything likes travel new places I enjoy living life fullest making every day count,1
 Alfred, 56, engineer, single,male,I outgoing great sense humor I affectionate still believes chivalry I love music ranging blues rock classical I also enjoy reading wide variety books I looking someone similar taste introduce new things Laughing affectionate easy going would great I looking forward new chapter life,1
 alfred4real, 48, engineer, widowed,male,easy going person lovely caring much understanding people God fearing Man,1
 alfreddavian, 49, business man, divorced,male,I God fearing man I Christian faith credit life attitude success however,1
 Alfredk111, 41, Architecture, divorced,male,I person looks beyond may obvious Character worth flashiness I person appreciates honesty great sense humor I love laugh enjoy simple things life I would appreciate person good sense sense direction wants I appreciate woman sees man friend partnerI know men women inner child within I would appreciate days filled fun laughter I respect adhere taking care business lifefamily work community etc Yet I know life involves alance I look good situations choose look good others I know life involves give take seekis must willing give demonstrate I romantic heart I like appreciated complimented I would special someone,1
 alfredmac, 54, engineer, widowed,male,A simple honest man believes trust love also looking nice woman wanting settle,1
 alicB, 34, self employed, single,female,I consider self friendly person open minded young looking body im proud like looking good im I love adventure new experiences also find comfort ordinary I love learn im also pursuing new interest,1
 alice, 36, nurse, single,female,Im honest caringcalm cool faithful guy like swimming singing dancing listening music traveling like trying new things,1
 Alice1, 26, business, single,female,Am cool loving person I would like meet kind faithful sincere man could become friend mine first I could completely trust I also looking sociable understanding person make lifelong partner He must fun outgoing companies wit conversation For I believe marriage routine thrilling eventful adventure And I interesting person,1
 alicej, 42, business, single,female,True love eternalinfiniteand always like It equal pure without violent demonstrationsit seen white hairs always young heart,1
 Aliceyeboah, 25, student, single,female,I young woman strong belief existence love life thisi love good woman perfect wife mani passionate treat people ages walks life respecti also believe happiness every woman based loving Husband fulfill pleasures desires heri enjoy going friends enjoy going movies also enjoy reading books much adventurousi honest sincere believes good thing kind faithful lifeI want man sweet loving kind heart ready relationship ready taken live expectationi want serious man hardworking well much respectful women ready start relationship,1
 aliciakurt, 28, –, single,female,single ladywith good heart truly understand meaning lovei experience good bad side relationshipcome new life1 562 2659832feel free text seek serious relationship could lead marriagehope read special man lifealiciakurt13atyahdotcom,1
 alilove1, 28, student, single,female,My name Fatoumate I young beautiful girl full love,1
 alimaforu, 25, student, single,female,I tender heart lovable great sense humor caring zealous open mindeddedicated independent take consequential dedicated work Belize beauty dreams Life beautiful make dreams reality positive thinker anticipate exploringi live happy life like think shows smile always matter Most God fearing,1
 Alimawaheed, 25, student, single,female,search good man alot tell tell later,1
 alina001, 24, student, single,female,Am girl integrity optimisticcaring loving also decent look future pastam find man ownto engage serious long term relationship lead life time partneram share nude pictures please dont ask nude pictureswill tell move,1
 alinaannatheoop1, 35, nursing, divorced,female,I come happy family Good education hard work make cheerful confident woman Im young playful girl At age Im mature sincere honest woman I desire good life partner love care always support Do want Honey,1
 AlishaFinn, 29, Sales and marketing, single,female,In case would say love make world go round instead money jovial fun person cynical look life I hardworking woman achieved major success life endeavours looking settle man love matters although relationship couple years back didnt end well dont want traumatic experience happen I something serious want people seek thing communicate cheers,1
 alison123,38, student, single,female,Just sincere ready relocate live rest life,1
 alison22, 24, self employed, single,female,I friendly courteous affectionate respectful gentle man I believe open honest loving family REAL friend treating others respect committed ones love regardless actions showing affection little things show care listening deciding course true love,1
 aliyah121, 35, nurse, single,female,I sweet thoughtful kind great sense humor I easy going laid back I often told I easy talk I angry person I interested someone Having past events shape life one thing carrying past burden sits heavily upon shoulders way I view life I happy life I like think shows I would best someone isnt extremely uptight unless course willing learn let things go I love try new things laugh I fail miserably I dont give easily many things Ive yet try Please love laugh fun better laughing hard stomach hurts,1
 Alla, 31, student, single,female,Most I like ride bike sing cook tasty things I like take care close people friends Character I earth romantic person sense humor good heart clear understanding I value life I want I cheerful kind loyal caring lady able love wanting loved I prefer romantic dinner loved one home instead noisy party company many people,1
 allan2017, 49, medical or finance, single,male,Im good caring sincere honest im personim nice I love God,1
 allanjohnson, 45, engineer, widowed,male,If I could write perfect profile I far perfect I tried dating sites two years I unsuccessful I would say 95 women I contacted nit responded Which really raises question women really want But man really knew redundancy sights would clear,1
 allenjordan, 42, military, single,male,Am funcaring loving man looking right one,1
 allenryan, 21, engineer, single,male,loving caring good looking man love traveling playing watching sport meeting people,1
 Allenwilliams91, 51, us army, divorced,male,Im honest man I looking real woman I call I dont drink I dont smoke I hard working man always planning family I looking woman love I hard working woman lovely caring understanding type,1
 allerstefan, 60, marine engineer, divorced,male,Simple man kind heart passionate optimistic future A lover Clean environment I love take care old poor also volunteer community development I born Christian God reason alive todayI love arts partipate several sports,1
 Allyn, 57, US Army, single,male,I really sincere person comes sharing feelings emotions special person really damn honest things say cos dont like hurting anyones feelings Im new Internet dating I believe Internet dating manageable depending kind person communicating level seriousness put communication Im Really Searching woman love sonI mean Woman gon na share love withand also spend Rest Life,1
 altanb, 54, finance, widowed,male,I friendly open minded man interested meet someone new share,1
 Altonbrian, 41, civil engineer, divorced,male,Basically I love life I love living life I enjoy outdoors traveling restaurants laughing goIng cultural events sociaLizing quality peOple Its better liVing sharing lifE someone else,1
 alvaro5000, 57, business owner, widowed,male,I every sense Gentleman I easy going earth God fearingI sweet fun loving man gentle hearted man I enjoy rollerblading along beaches beautiful sunny days I enjoy things thrilling exciting I believe taking care woman treating gift God meant I romantic I like pay lot attention woman I also like give compliments tell nice looking much I love care I good communicator I love talk things I hate argue I honest caring man I like laugh fun Im man knows partner dictator Stand beside woman behind front I want someone best friend lover Someone I trust unconditionally And course I youI want partner feminine affectionate passionateFidelity Honesty tops list I expect partner,1
 Alves22, 55, Manager, divorced,male,I gentle I always ready help needed I expect anything return I easily find common language others I easily become soul company Im caring completely nonconflicting Close people say easy pleasant communicate mei new pamplona spain looking someone serious relationship In nutshell I simple calm manI open kind,1
 Aly88, 31, nurse, single,female,I work pathology wide range passions including paintingdrawing music good food Love learning new things experiencing new places Need know feel free ask I love good uncontrollable belly laugh whilst I serious I also enjoy ridiculous If meet would probably think I extroverted I actually introvert I love furry animals yeah I know thats fair reptiles thats I feel There times I extremely healthy months I might go period month Im Im overly regimented consistent life Also Im site bit fun Im ready meet someone seriously please dont take desperation,1
 Am2xhot1, 23, student, single,female,Hot girl Well dedicated work private life I like keep things cool take good care self people around Im new site I know I want Looking forward hear special man,1
 Amain,24, nurse, single,female,I kind cute tender woman Very communicative good sense humor You never bore I big kind heart sensitive soul I tired lonely heart ready love take care future husband I positive person I love life enjoy every day In every day I try find best moments remember good Am graduated Nursing also professional hair dresser right I dont Job Now help GrandMa Market selling african Items But hair dressing occupation vast number peopleI hope I relocate manI get good job Nurse help support family,1
 amana, 28, student, single,female,please busy kindly send email address communicate free contact email amanag303gmailcom reply back letter,1
 Amanda1001, 48, self employed, divorced,female,Easy going great sense humor hard working GOD fearing family oriented person,1
 amankoolnice,47, nurse, divorced,female,someone love meet good sincere people easy going honest calm truthful realI love sport mostly hockey football I girl 22years old world I love traveling meeting new people I grow small village I vegetarian I seek heart someone love like I love himaccept I ambitious person I need someone add value bring downam interested hobbies feeling things make happy,1
 amarksmiths, 49, –, single,male,Love laughter I afterI happy man strong intelligent affectionate loyal independent somewhat adventurous love laugh make people smile I appreciate woman good character integrity I would love meet someone could crack I sincere honest dedicated responsible romantic passionate young gentleman good sense humor strong values search best friend lifelong partner true love Even though I blessed youthful appearance I wisdom many ages I value friendship honesty loyalty romance passion spirituality family good laugh,1
 AmazingClara, 42, sales, single,female,I understanding open minded heart forgiving loving caring sense humor hard working cheerful character honest sincere kind warm intelligent good looks,1
 amber, 24, self-employed, single,female,well 24 years OldI Single fair coloured Blonde hair brown eyes 5 9quot 141 lbsLong Hair healthy Lady I selfsufficient Beautiful happy secure selfconfident psychologically Hard working lady friendly Kids Never Married,1
 Amber747, 34, lawyer, single,female,If want somebody somebody really special I always try constant personal development important Besides I curious I always try know something new Im sensual positive responsible creative woman Im really energetic rather natural I like getting new experience meeting new interesting people My best friends say Im reliable sociable understanding Im faithful cheerful girl good sense humor I know real destination happiness lie family hearth reciprocal care,1
 ambersweet24, 24, self employed, single,female,hi Amber simple girl searching real man life love cook swimming eat pasta u interested beep Someone love accept I love unconditionally knight shining armor high highs low lows return Ill give unconditional love,1
 ambrose, 54, engineer, widowed,male,I sincere loving kind affectionate dependable person Forthright honest I value integrity sense fairness One able look mirror comfortable values character show world I outgoing attitude positiveminded nature spontaneous towards new experiences I like laugh described good sense humor,1
 amcoolandfriendly,27, military, widowed,female,I consider strong open minded direct Im afraid tell people I think topic I tell like I see I feel better completely honest someone Telling someone lie keep getting hurt good If ask truth I tell truth benefit best interest I care people try help much I way I I good sense humor I love Meet people around world learn new things I love learn everything I Im patient compassionate I love animals I love travel My weakness would hard forget someone hurts I could forgive hard get,1
 ameerah, 28, self employed, single,female,Im honest charming tender lady romantic dreams kind heart I soft careful Im looking serious relationship honest caring romantic gentlman good sense humour I look individuality first place There something differs others thats flair The person Im looking intelligent great sense humour honest caring reliable confident strongwilled manysided I dont want Mister Perfect sickly sweet person definitely spice If u good heart quick mind sense humour serious intention I would happy get know,1
 ameliagrass, 40, cook, widowed,female,I want know things Well goes I easygoing person I think others way Im someone important good time I confident I always know I want life I rarely give got sense humor,1
 americanfriday, 37, self employed, divorced,male,I Moses loyal humble man easy going aw lovely man feel free ask anything tell thanks best woman one gon na love respect honour happy found one complete life man pray come way love,1
 Amilia,38, business, single,female,Honest genuine loving loyal person looking someone decent qualities long term relationship perhaps meet new friends way,1
 amina1, 21, self employed, single,female,easygoing young girl looking honesttrustfulrespectful caring partner,1
 aminah, 25, student, single,female,caring woman loving type humble honest still single looking forward see man heart care take care time call,1
 Amirah, 26, architect, single,female,I simple earth lady I make good friends time leads serious relationship,1
 Amliesel, 25, student, single,female,I single simple humble reliable ready mingle simplicity defines best I love cooking wants tour world someone special,1
 Amlook, 29, student, single,female,I Caring Positive Family Oriented Independent Woman I adore childrenhowever I enjoy shopping fashionable classy I carry respectably aggressive need I dont speak words real meaning dont waste time negative thoughts I love positive people strive happyI believe good thing come wait times love air must itIm touchy amp freely person needy passionateI believe enjoying good life high M desire meet Handsome sensitive sensuous warm assertive single man wants friend My interpretation friend one pour contents heart chaff grain together knowing gentleness hands take sift keep worth keeping breath kindness blow rest away I thank advance allowing kind friend,1
